update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
910,1.4,0.4725503921508789,None,"('N', 'o', 'n', 'e')",None
1248,0.4,0.38460683822631836,None,"('N', 'o', 'n', 'e')",None
1578,0.4,0.38631749153137207,None,"('N', 'o', 'n', 'e')",None
1910,0.39,0.37570810317993164,None,"('N', 'o', 'n', 'e')",None
2237,0.42,0.407332181930542,None,"('N', 'o', 'n', 'e')",None
2563,0.38,0.36710190773010254,None,"('N', 'o', 'n', 'e')",None
2895,0.39,0.3710017204284668,None,"('N', 'o', 'n', 'e')",None
3229,0.39,0.3728322982788086,None,"('N', 'o', 'n', 'e')",None
3553,0.41,0.39660191535949707,None,"('N', 'o', 'n', 'e')",None
3879,0.39,0.3755064010620117,None,"('N', 'o', 'n', 'e')",None
