update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
875,1.96,0.6873347759246826,None,"('N', 'o', 'n', 'e')",None
1285,0.5,0.4794580936431885,None,"('N', 'o', 'n', 'e')",None
1707,0.55,0.5370874404907227,None,"('N', 'o', 'n', 'e')",None
2131,0.56,0.5445125102996826,None,"('N', 'o', 'n', 'e')",None
2552,0.56,0.539639949798584,None,"('N', 'o', 'n', 'e')",None
2968,0.56,0.544776201248169,None,"('N', 'o', 'n', 'e')",None
3394,0.55,0.5285210609436035,None,"('N', 'o', 'n', 'e')",None
3815,0.55,0.5314047336578369,None,"('N', 'o', 'n', 'e')",None
4229,0.51,0.496366024017334,None,"('N', 'o', 'n', 'e')",None
4655,0.54,0.5254669189453125,None,"('N', 'o', 'n', 'e')",None
5070,0.55,0.5363216400146484,None,"('N', 'o', 'n', 'e')",None
5498,0.55,0.5295653343200684,None,"('N', 'o', 'n', 'e')",None
5916,0.56,0.5485727787017822,None,"('N', 'o', 'n', 'e')",None
6341,0.54,0.5236861705780029,None,"('N', 'o', 'n', 'e')",None
6760,0.56,0.5396552085876465,None,"('N', 'o', 'n', 'e')",None
7178,0.55,0.5375986099243164,None,"('N', 'o', 'n', 'e')",None
7603,0.53,0.5097899436950684,None,"('N', 'o', 'n', 'e')",None
8009,0.51,0.49210476875305176,None,"('N', 'o', 'n', 'e')",None
8435,0.53,0.5128419399261475,None,"('N', 'o', 'n', 'e')",None
8852,0.52,0.5024609565734863,None,"('N', 'o', 'n', 'e')",None
9275,0.52,0.5066821575164795,None,"('N', 'o', 'n', 'e')",None
9696,0.51,0.49492621421813965,None,"('N', 'o', 'n', 'e')",None
10109,0.54,0.5279421806335449,None,"('N', 'o', 'n', 'e')",None
10533,0.53,0.5126962661743164,None,"('N', 'o', 'n', 'e')",None
10959,0.55,0.5332140922546387,None,"('N', 'o', 'n', 'e')",None
11374,0.53,0.5181763172149658,None,"('N', 'o', 'n', 'e')",None
11791,0.55,0.5296511650085449,None,"('N', 'o', 'n', 'e')",None
12213,0.57,0.5544061660766602,None,"('N', 'o', 'n', 'e')",None
12634,0.52,0.5079360008239746,None,"('N', 'o', 'n', 'e')",None
13051,0.51,0.49321889877319336,None,"('N', 'o', 'n', 'e')",None
13471,0.52,0.5051631927490234,None,"('N', 'o', 'n', 'e')",None
13894,0.52,0.5083050727844238,None,"('N', 'o', 'n', 'e')",None
14314,0.52,0.5048291683197021,None,"('N', 'o', 'n', 'e')",None
14735,0.53,0.5098071098327637,None,"('N', 'o', 'n', 'e')",None
15159,0.53,0.5089256763458252,None,"('N', 'o', 'n', 'e')",None
15576,0.58,0.5651531219482422,None,"('N', 'o', 'n', 'e')",None
16000,0.55,0.528968095779419,None,"('N', 'o', 'n', 'e')",None
16404,0.52,0.5040545463562012,None,"('N', 'o', 'n', 'e')",None
16828,0.54,0.5259935855865479,None,"('N', 'o', 'n', 'e')",None
17262,0.56,0.5383741855621338,None,"('N', 'o', 'n', 'e')",None
17677,0.51,0.49749135971069336,None,"('N', 'o', 'n', 'e')",None
18093,0.52,0.5061194896697998,None,"('N', 'o', 'n', 'e')",None
18514,0.52,0.5078105926513672,None,"('N', 'o', 'n', 'e')",None
18928,0.53,0.5170753002166748,None,"('N', 'o', 'n', 'e')",None
19352,0.52,0.5074844360351562,None,"('N', 'o', 'n', 'e')",None
19766,0.51,0.4897115230560303,None,"('N', 'o', 'n', 'e')",None
20197,0.53,0.5174322128295898,None,"('N', 'o', 'n', 'e')",None
20617,0.55,0.5293006896972656,None,"('N', 'o', 'n', 'e')",None
21038,0.51,0.4937112331390381,None,"('N', 'o', 'n', 'e')",None
21458,0.51,0.4965817928314209,None,"('N', 'o', 'n', 'e')",None
21864,0.5,0.488980770111084,None,"('N', 'o', 'n', 'e')",None
22288,0.52,0.5071549415588379,None,"('N', 'o', 'n', 'e')",None
22710,0.52,0.5040740966796875,None,"('N', 'o', 'n', 'e')",None
23133,0.52,0.5079319477081299,None,"('N', 'o', 'n', 'e')",None
23557,0.57,0.5506937503814697,None,"('N', 'o', 'n', 'e')",None
23973,0.52,0.507939338684082,None,"('N', 'o', 'n', 'e')",None
24389,0.54,0.5273871421813965,None,"('N', 'o', 'n', 'e')",None
24820,0.57,0.5547699928283691,None,"('N', 'o', 'n', 'e')",None
25236,0.53,0.5093467235565186,None,"('N', 'o', 'n', 'e')",None
25655,0.52,0.5042836666107178,None,"('N', 'o', 'n', 'e')",None
26068,0.51,0.49854040145874023,None,"('N', 'o', 'n', 'e')",None
26497,0.53,0.5144515037536621,None,"('N', 'o', 'n', 'e')",None
26908,0.52,0.5079526901245117,None,"('N', 'o', 'n', 'e')",None
27330,0.54,0.5279998779296875,None,"('N', 'o', 'n', 'e')",None
27745,0.54,0.5280599594116211,None,"('N', 'o', 'n', 'e')",None
28179,0.56,0.5441052913665771,None,"('N', 'o', 'n', 'e')",None
28597,0.53,0.510113000869751,None,"('N', 'o', 'n', 'e')",None
29010,0.51,0.4956989288330078,None,"('N', 'o', 'n', 'e')",None
29427,0.52,0.5061051845550537,None,"('N', 'o', 'n', 'e')",None
29857,0.52,0.4999699592590332,None,"('N', 'o', 'n', 'e')",None
30271,0.54,0.526343822479248,None,"('N', 'o', 'n', 'e')",None
30684,0.51,0.49735069274902344,None,"('N', 'o', 'n', 'e')",None
