update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
895,1.75,0.667360782623291,None,"('N', 'o', 'n', 'e')",None
1231,0.54,0.5224549770355225,None,"('N', 'o', 'n', 'e')",None
1565,0.54,0.5224609375,None,"('N', 'o', 'n', 'e')",None
1900,0.53,0.5106930732727051,None,"('N', 'o', 'n', 'e')",None
2232,0.51,0.4927098751068115,None,"('N', 'o', 'n', 'e')",None
2556,0.57,0.5555129051208496,None,"('N', 'o', 'n', 'e')",None
2890,0.54,0.5244395732879639,None,"('N', 'o', 'n', 'e')",None
3218,0.58,0.5640823841094971,None,"('N', 'o', 'n', 'e')",None
3543,0.54,0.5221843719482422,None,"('N', 'o', 'n', 'e')",None
3868,0.55,0.532029390335083,None,"('N', 'o', 'n', 'e')",None
4208,0.56,0.5457165241241455,None,"('N', 'o', 'n', 'e')",None
4543,0.57,0.5555038452148438,None,"('N', 'o', 'n', 'e')",None
4874,0.53,0.509739875793457,None,"('N', 'o', 'n', 'e')",None
5201,0.52,0.501666784286499,None,"('N', 'o', 'n', 'e')",None
5530,0.56,0.5477621555328369,None,"('N', 'o', 'n', 'e')",None
5858,0.52,0.499234676361084,None,"('N', 'o', 'n', 'e')",None
6188,0.51,0.4946322441101074,None,"('N', 'o', 'n', 'e')",None
6520,0.51,0.4938175678253174,None,"('N', 'o', 'n', 'e')",None
6852,0.58,0.5641748905181885,None,"('N', 'o', 'n', 'e')",None
7179,0.55,0.5337848663330078,None,"('N', 'o', 'n', 'e')",None
7509,0.54,0.5253663063049316,None,"('N', 'o', 'n', 'e')",None
7842,0.51,0.4945831298828125,None,"('N', 'o', 'n', 'e')",None
8172,0.53,0.5146403312683105,None,"('N', 'o', 'n', 'e')",None
8499,0.51,0.48948073387145996,None,"('N', 'o', 'n', 'e')",None
8830,0.53,0.509345293045044,None,"('N', 'o', 'n', 'e')",None
9169,0.55,0.5347366333007812,None,"('N', 'o', 'n', 'e')",None
9500,0.53,0.5117530822753906,None,"('N', 'o', 'n', 'e')",None
9819,0.53,0.5186316967010498,None,"('N', 'o', 'n', 'e')",None
10150,0.52,0.5030708312988281,None,"('N', 'o', 'n', 'e')",None
10479,0.53,0.5133678913116455,None,"('N', 'o', 'n', 'e')",None
10814,0.53,0.5148880481719971,None,"('N', 'o', 'n', 'e')",None
11146,0.53,0.515129804611206,None,"('N', 'o', 'n', 'e')",None
11472,0.51,0.49617958068847656,None,"('N', 'o', 'n', 'e')",None
11800,0.55,0.5389888286590576,None,"('N', 'o', 'n', 'e')",None
12132,0.53,0.5167586803436279,None,"('N', 'o', 'n', 'e')",None
12467,0.51,0.49860668182373047,None,"('N', 'o', 'n', 'e')",None
12790,0.51,0.49334025382995605,None,"('N', 'o', 'n', 'e')",None
13118,0.51,0.4957613945007324,None,"('N', 'o', 'n', 'e')",None
13448,0.53,0.5161359310150146,None,"('N', 'o', 'n', 'e')",None
13786,0.53,0.5155503749847412,None,"('N', 'o', 'n', 'e')",None
14113,0.53,0.5154681205749512,None,"('N', 'o', 'n', 'e')",None
14440,0.51,0.48958539962768555,None,"('N', 'o', 'n', 'e')",None
14772,0.53,0.5150957107543945,None,"('N', 'o', 'n', 'e')",None
15102,0.53,0.5185806751251221,None,"('N', 'o', 'n', 'e')",None
15430,0.53,0.512343168258667,None,"('N', 'o', 'n', 'e')",None
15761,0.54,0.5223982334136963,None,"('N', 'o', 'n', 'e')",None
16096,0.52,0.5040216445922852,None,"('N', 'o', 'n', 'e')",None
16426,0.54,0.5192968845367432,None,"('N', 'o', 'n', 'e')",None
16756,0.56,0.5464129447937012,None,"('N', 'o', 'n', 'e')",None
17086,0.58,0.5598022937774658,None,"('N', 'o', 'n', 'e')",None
17413,0.55,0.537550687789917,None,"('N', 'o', 'n', 'e')",None
17742,0.53,0.5132055282592773,None,"('N', 'o', 'n', 'e')",None
18069,0.54,0.5249943733215332,None,"('N', 'o', 'n', 'e')",None
18402,0.52,0.5075693130493164,None,"('N', 'o', 'n', 'e')",None
18732,0.51,0.49744296073913574,None,"('N', 'o', 'n', 'e')",None
19068,0.54,0.5278275012969971,None,"('N', 'o', 'n', 'e')",None
19398,0.55,0.5371630191802979,None,"('N', 'o', 'n', 'e')",None
19729,0.51,0.49463558197021484,None,"('N', 'o', 'n', 'e')",None
20059,0.51,0.49844861030578613,None,"('N', 'o', 'n', 'e')",None
20390,0.51,0.49644970893859863,None,"('N', 'o', 'n', 'e')",None
20717,0.53,0.5173239707946777,None,"('N', 'o', 'n', 'e')",None
21045,0.58,0.5651736259460449,None,"('N', 'o', 'n', 'e')",None
21364,0.52,0.4995291233062744,None,"('N', 'o', 'n', 'e')",None
21699,0.59,0.5756614208221436,None,"('N', 'o', 'n', 'e')",None
22033,0.58,0.5677917003631592,None,"('N', 'o', 'n', 'e')",None
22366,0.55,0.5335776805877686,None,"('N', 'o', 'n', 'e')",None
22696,0.52,0.5048034191131592,None,"('N', 'o', 'n', 'e')",None
23025,0.56,0.5442440509796143,None,"('N', 'o', 'n', 'e')",None
23352,0.54,0.5260450839996338,None,"('N', 'o', 'n', 'e')",None
23686,0.54,0.5239098072052002,None,"('N', 'o', 'n', 'e')",None
24024,0.54,0.5273439884185791,None,"('N', 'o', 'n', 'e')",None
24354,0.54,0.5275058746337891,None,"('N', 'o', 'n', 'e')",None
24682,0.51,0.4986691474914551,None,"('N', 'o', 'n', 'e')",None
25008,0.54,0.5198707580566406,None,"('N', 'o', 'n', 'e')",None
25337,0.53,0.5145316123962402,None,"('N', 'o', 'n', 'e')",None
25667,0.58,0.5609531402587891,None,"('N', 'o', 'n', 'e')",None
25999,0.54,0.526700496673584,None,"('N', 'o', 'n', 'e')",None
26327,0.53,0.5179612636566162,None,"('N', 'o', 'n', 'e')",None
26659,0.51,0.4959375858306885,None,"('N', 'o', 'n', 'e')",None
26979,0.51,0.4918372631072998,None,"('N', 'o', 'n', 'e')",None
