update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
899,1.7,0.6625349521636963,None,"('N', 'o', 'n', 'e')",None
1230,0.5,0.4847676753997803,None,"('N', 'o', 'n', 'e')",None
1560,0.5,0.48705101013183594,None,"('N', 'o', 'n', 'e')",None
1896,0.54,0.5197687149047852,None,"('N', 'o', 'n', 'e')",None
2232,0.56,0.5407149791717529,None,"('N', 'o', 'n', 'e')",None
2568,0.54,0.5263004302978516,None,"('N', 'o', 'n', 'e')",None
2888,0.55,0.5349090099334717,None,"('N', 'o', 'n', 'e')",None
3218,0.54,0.5186357498168945,None,"('N', 'o', 'n', 'e')",None
3552,0.51,0.4942619800567627,None,"('N', 'o', 'n', 'e')",None
3876,0.55,0.5346455574035645,None,"('N', 'o', 'n', 'e')",None
