update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
951,1.75,0.4946105480194092,None,"('N', 'o', 'n', 'e')",None
1290,0.55,0.5338153839111328,None,"('N', 'o', 'n', 'e')",None
1622,0.56,0.5425081253051758,None,"('N', 'o', 'n', 'e')",None
1949,0.55,0.5296726226806641,None,"('N', 'o', 'n', 'e')",None
2278,0.54,0.5202789306640625,None,"('N', 'o', 'n', 'e')",None
2612,0.54,0.519805908203125,None,"('N', 'o', 'n', 'e')",None
2945,0.57,0.5531611442565918,None,"('N', 'o', 'n', 'e')",None
3279,0.53,0.5172061920166016,None,"('N', 'o', 'n', 'e')",None
3604,0.55,0.5298013687133789,None,"('N', 'o', 'n', 'e')",None
3938,0.53,0.5123701095581055,None,"('N', 'o', 'n', 'e')",None
