update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
910,1.9,0.9702849388122559,[-16.64549266  -0.99556979 112.        ],"(-9, -1, 11)",[ 7 10  1]
1239,0.91,0.8917560577392578,[ -6.02987471   1.93375603 109.        ],"(-4, 0, 10)",[ 0 13  4]
1563,0.83,0.8120541572570801,[ -6.69637893   1.24062997 110.        ],"(-4, 0, 11)",[15  7  1]
1896,0.95,0.9285879135131836,[ -7.72779348   3.71899689 112.5       ],"(-4, 1, 11)",[ 0  8 13]
2227,0.84,0.8266434669494629,[ -6.04118811   0.79233987 109.        ],"(-4, 0, 10)",[15  7  5]
2549,0.89,0.8756570816040039,[ -5.95595971   3.15031962 108.        ],"(-3, 1, 10)",[ 0 13  8]
2879,0.8,0.7833354473114014,[ -6.10444724   1.43407808 110.5       ],"(-4, 0, 11)",[ 7 16 15]
3219,0.92,0.9081499576568604,[ -7.89261219   1.18725962 114.5       ],"(-4, 0, 11)",[ 8 13  0]
3557,0.98,0.9670307636260986,[ -7.94306903   0.90229101 110.        ],"(-4, 0, 11)",[14  7  5]
3887,0.94,0.9256877899169922,[ -6.0923144    2.64801321 109.5       ],"(-4, 1, 10)",[ 0 13 18]
