update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
908,2.14,1.1938145160675049,[-16.64549266  -0.99556979 110.5       ],"(-9, -1, 11)",[19 23  0]
1233,0.96,0.9461565017700195,[ -6.97205883   2.70219009 107.5       ],"(-4, 1, 10)",[24 15  7]
1559,1.09,1.0748953819274902,[ -8.53159678   2.34261614 107.5       ],"(-5, 1, 10)",[19 13 21]
1898,1.37,1.356726884841919,[ -8.38860009   1.90130293 113.        ],"(-5, 0, 11)",[24  1 14]
2234,1.0,0.9878382682800293,[ -8.97284335   2.36753498 112.        ],"(-5, 1, 11)",[23 19  0]
2565,1.02,0.9992508888244629,[ -8.70113245   2.5785652  109.5       ],"(-5, 1, 10)",[24 15 17]
2895,1.16,1.1450753211975098,[ -9.04688244   2.50427649 110.        ],"(-5, 1, 11)",[19  0 23]
3217,1.03,1.0159986019134521,[ -7.69572776   2.90013243 106.5       ],"(-4, 1, 10)",[10 24  1]
3555,1.07,1.0490424633026123,[ -7.79722283   3.69880292 111.        ],"(-4, 1, 11)",[21 16 19]
3874,0.95,0.9358391761779785,[ -6.62424983   3.81041841 108.        ],"(-4, 1, 10)",[10 24 18]
