update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
896,1.74,0.675213098526001,None,"('N', 'o', 'n', 'e')",None
1230,0.55,0.5294368267059326,None,"('N', 'o', 'n', 'e')",None
1550,0.51,0.49853992462158203,None,"('N', 'o', 'n', 'e')",None
1886,0.53,0.5181984901428223,None,"('N', 'o', 'n', 'e')",None
2218,0.54,0.5267813205718994,None,"('N', 'o', 'n', 'e')",None
2548,0.56,0.5469605922698975,None,"('N', 'o', 'n', 'e')",None
2879,0.53,0.5182819366455078,None,"('N', 'o', 'n', 'e')",None
3211,0.54,0.5261201858520508,None,"('N', 'o', 'n', 'e')",None
3526,0.51,0.49838757514953613,None,"('N', 'o', 'n', 'e')",None
3864,0.53,0.517261266708374,None,"('N', 'o', 'n', 'e')",None
