update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
903,1.65,0.6553571224212646,None,"('N', 'o', 'n', 'e')",None
1232,0.53,0.5092349052429199,None,"('N', 'o', 'n', 'e')",None
1562,0.55,0.5347156524658203,None,"('N', 'o', 'n', 'e')",None
1889,0.54,0.5229053497314453,None,"('N', 'o', 'n', 'e')",None
2221,0.58,0.5601999759674072,None,"('N', 'o', 'n', 'e')",None
2554,0.57,0.5566790103912354,None,"('N', 'o', 'n', 'e')",None
2885,0.52,0.5055267810821533,None,"('N', 'o', 'n', 'e')",None
3197,0.5,0.48760414123535156,None,"('N', 'o', 'n', 'e')",None
3539,0.54,0.5267152786254883,None,"('N', 'o', 'n', 'e')",None
3869,0.53,0.5087783336639404,None,"('N', 'o', 'n', 'e')",None
