update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
966,1.56,0.48505377769470215,None,"('N', 'o', 'n', 'e')",None
1302,0.54,0.5241415500640869,None,"('N', 'o', 'n', 'e')",None
1623,0.5,0.48406267166137695,None,"('N', 'o', 'n', 'e')",None
1963,0.54,0.5253362655639648,None,"('N', 'o', 'n', 'e')",None
2297,0.53,0.5146715641021729,None,"('N', 'o', 'n', 'e')",None
2629,0.54,0.5226738452911377,None,"('N', 'o', 'n', 'e')",None
2956,0.55,0.5304138660430908,None,"('N', 'o', 'n', 'e')",None
3279,0.53,0.5147740840911865,None,"('N', 'o', 'n', 'e')",None
3610,0.52,0.5050864219665527,None,"('N', 'o', 'n', 'e')",None
3952,0.56,0.5464584827423096,None,"('N', 'o', 'n', 'e')",None
