update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
903,1.9,0.9034163951873779,[-17.4363338   -1.94581844 111.        ],"(-9, -1, 11)","[5, 3, 4]","[(0, 0.3), (0, 0.3), (0, 0.3)]"
1232,0.76,0.7432456016540527,[ -4.11331686   7.75737479 110.        ],"(-3, 3, 11)","[7, 3, 2]","[(0, 0.7), (0, 0.3), (0, 0.3)]"
1560,0.86,0.8485229015350342,[ -3.85507269   8.16699261 109.        ],"(-2, 4, 10)","[7, 8, 2, 3]","[(0, 0.7), (0, 0.7), (0, 0.3), (0, 0.3)]"
1883,0.97,0.9538521766662598,[ -2.53433769  11.1246806  108.        ],"(-2, 5, 10)","[1, 2, 3, 0]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
2212,0.83,0.8184969425201416,[ -2.89924585  10.38258337 108.        ],"(-2, 5, 10)","[7, 8, 9, 3]","[(0, 0.7), (0, 0.7), (0, 0.7), (0, 0.3)]"
2541,1.05,1.034785270690918,[ -4.0478637    9.50260369 109.        ],"(-3, 4, 10)","[2, 1, 3, 0]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
2868,0.84,0.8201525211334229,[ -1.71334192  10.91826107 109.5       ],"(-1, 5, 10)","[7, 8, 11, 9]","[(0, 0.7), (0, 0.7), (0, 0.7), (0, 0.7)]"
3195,1.0,0.9854373931884766,[ -2.53144021  11.33401434 107.5       ],"(-2, 5, 10)","[2, 3, 1, 0]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
3533,0.94,0.9273195266723633,[ -2.55732776  10.58503318 113.        ],"(-2, 5, 11)","[7, 8, 12, 3]","[(0, 0.7), (0, 0.7), (0, 0.7), (0, 0.3)]"
3863,1.04,1.0280530452728271,[ -2.75662442  11.5961465  108.        ],"(-2, 5, 10)","[2, 1, 3, 0]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
