update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
955,2.78,0.9954357147216797,[-17.4363338   -1.94581844 108.        ],"(-9, -1, 10)",[ 0 12  2  5],"[[ 0.   0.3]
 [10.   0.3]
 [10.   0.3]
 [ 0.   0.7]]"
1284,1.05,1.0382428169250488,[ -3.18006861  16.24787282 108.        ],"(-2, 8, 10)",[1 0 6 2],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.7]
 [10.   0.3]]"
1623,0.96,0.9456641674041748,[ -3.06669608  13.46783799 111.        ],"(-2, 6, 11)",[ 2  6  8 12],"[[10.   0.3]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
1954,0.99,0.9743890762329102,[ -2.55199059  14.3123789  107.5       ],"(-2, 7, 10)",[ 1  0  6 12],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.3]]"
2284,0.96,0.9455211162567139,[ -2.62937295  14.30029286 109.        ],"(-2, 7, 10)",[ 2  6 12  5],"[[10.   0.3]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
2611,0.94,0.9273853302001953,[ -1.56302406  12.51883404 109.5       ],"(-1, 6, 10)",[9 8 7 1],"[[0.  0.7]
 [0.  0.7]
 [0.  0.7]
 [0.  0.3]]"
2939,0.98,0.9624876976013184,[ -2.75920205  14.12217938 108.        ],"(-2, 7, 10)",[ 0 12  2  5],"[[ 0.   0.3]
 [10.   0.3]
 [10.   0.3]
 [10.   0.7]]"
3269,0.92,0.9005608558654785,[ -3.53096173  11.45855171 111.        ],"(-2, 5, 11)",[9 8 1 7],"[[0.  0.7]
 [0.  0.7]
 [0.  0.3]
 [0.  0.7]]"
3606,1.05,1.0338618755340576,[ -2.99996977  14.18989129 114.5       ],"(-2, 7, 11)",[ 2 12 17  0],"[[10.   0.3]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
3928,0.92,0.9026455879211426,[ -2.20681857  12.00240271 108.5       ],"(-2, 6, 10)",[9 8 6 7],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]]"
