update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
865,2.8,1.4214069843292236,[-17.4363338   -1.94581844 140.        ],"(-9, -1, 14)",[11  5 29  4],"[[  0.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
1276,1.25,1.2363522052764893,[ -7.75934699   6.17957711 134.5       ],"(-4, 3, 13)",[28  3 27 15],"[[-10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
1694,1.33,1.3122951984405518,[ -6.44266447   7.84280022 139.        ],"(-4, 3, 13)",[ 3  4 28  5],"[[-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
2111,1.26,1.2385568618774414,[ -6.37475121   8.00212204 139.5       ],"(-4, 4, 13)",[ 3 28  9 27],"[[-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
2545,1.32,1.305382251739502,[ -7.20333698   7.52702189 147.        ],"(-4, 3, 14)",[29 11  3  4],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
2953,1.31,1.2928578853607178,[ -7.02844617   7.02266136 132.        ],"(-4, 3, 13)",[ 3 28 27 15],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.3]]"
3374,1.29,1.2749435901641846,[ -6.31681994   7.45544236 142.5       ],"(-4, 3, 14)",[11 29  0  5],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
3791,1.33,1.3128066062927246,[ -6.59881117   7.91980845 139.        ],"(-4, 3, 13)",[ 3 28 27 15],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.3]]"
4219,1.36,1.3470664024353027,[ -6.50393135   8.63406031 142.5       ],"(-4, 4, 14)",[11  3 29  5],"[[  0.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
4643,1.3,1.2874901294708252,[ -6.70601616   7.73702059 142.        ],"(-4, 3, 14)",[ 3 28 15  9],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
5052,1.25,1.235419750213623,[ -6.23437106   7.44113841 134.        ],"(-4, 3, 13)",[29 11  4  5],"[[-10.    0.7]
 [  0.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
5465,1.29,1.2745895385742188,[ -6.28480932   8.63045086 141.5       ],"(-4, 4, 14)",[ 3 28 15  9],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
5888,1.27,1.2567157745361328,[ -6.33881976   8.22601984 140.5       ],"(-4, 4, 14)",[ 3 29 11  4],"[[-10.    0.3]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.3]]"
6315,1.26,1.2445030212402344,[ -6.72461735   8.06242539 144.        ],"(-4, 4, 14)",[ 3 28 15  9],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
6737,1.24,1.2181503772735596,[ -6.27743766   8.90115595 139.        ],"(-4, 4, 13)",[29 26 11  4],"[[-10.    0.7]
 [  0.    0.3]
 [  0.    0.7]
 [  0.    0.3]]"
7157,1.27,1.2540760040283203,[ -7.66767833   6.78057869 139.5       ],"(-4, 3, 13)",[ 3 28 15  9],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
7571,1.28,1.2621159553527832,[ -6.50600193   7.12250203 138.5       ],"(-4, 3, 13)",[29  3 11 26],"[[-10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]]"
7978,1.39,1.3735597133636475,[ -7.0740256    7.10592718 137.        ],"(-4, 3, 13)",[ 3 15 28 26],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
8405,1.29,1.2781858444213867,[ -7.07253194   7.80772251 140.5       ],"(-4, 3, 14)",[ 3 29 17 26],"[[-10.    0.3]
 [-10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
8831,1.24,1.2209117412567139,[ -7.58829368   7.34798692 140.5       ],"(-4, 3, 14)",[ 3 15 28  9],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
9263,1.14,1.1243464946746826,[ -6.81595902   7.17872516 144.5       ],"(-4, 3, 14)",[29 11 21  7],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
9677,1.28,1.2649192810058594,[ -7.00165082   7.56386016 139.        ],"(-4, 3, 13)",[ 3 28 15  9],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
10090,1.25,1.238302230834961,[ -7.25653135   6.73237309 138.5       ],"(-4, 3, 13)",[ 3 11 29 17],"[[-10.    0.3]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
10520,1.27,1.2564454078674316,[ -7.21801472   7.55112648 144.5       ],"(-4, 3, 14)",[ 3 28 15  9],"[[-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
10932,1.2,1.1883888244628906,[ -7.17620757   7.12041879 131.5       ],"(-4, 3, 13)",[ 3  4 29 11],"[[-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
11338,1.25,1.237300157546997,[ -6.93324503   7.41366926 134.5       ],"(-4, 3, 13)",[ 3 15 28  9],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
11769,1.27,1.2492122650146484,[ -6.27191223   7.51349132 143.        ],"(-4, 3, 14)",[29  3  7 17],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
12198,1.36,1.3477697372436523,[ -6.79468086   7.63876663 139.5       ],"(-4, 3, 13)",[ 3  4 15 28],"[[-10.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
12610,1.3,1.2863483428955078,[ -6.50980749   7.85236383 140.        ],"(-4, 3, 14)",[ 3  4 15 28],"[[-10.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
13030,1.38,1.362595796585083,[ -6.52303298   7.42853223 133.5       ],"(-4, 3, 13)",[ 3 15  0  4],"[[-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
13447,1.29,1.2686715126037598,[ -8.01983592   6.25626072 138.        ],"(-5, 3, 13)",[ 3 15 28  9],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
13883,1.3,1.2857997417449951,[ -7.12241439   6.85063492 145.5       ],"(-4, 3, 14)",[29 11  4 17],"[[-10.    0.7]
 [  0.    0.7]
 [  0.    0.3]
 [ 10.    0.3]]"
14299,1.27,1.2491052150726318,[ -7.74489096   6.57069828 137.        ],"(-4, 3, 13)",[ 3 15 28  9],"[[-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
