update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
998,0.88,0.8306727409362793,None,"('N', 'o', 'n', 'e')",None,None
1423,0.59,0.5270795822143555,None,"('N', 'o', 'n', 'e')",None,None
1840,0.51,0.49509358406066895,None,"('N', 'o', 'n', 'e')",None,None
2259,0.64,0.5084583759307861,None,"('N', 'o', 'n', 'e')",None,None
2660,0.57,0.49620771408081055,None,"('N', 'o', 'n', 'e')",None,None
3091,0.6,0.5212457180023193,None,"('N', 'o', 'n', 'e')",None,None
3518,0.64,0.5118186473846436,None,"('N', 'o', 'n', 'e')",None,None
3940,0.61,0.5114924907684326,None,"('N', 'o', 'n', 'e')",None,None
4346,0.55,0.4887216091156006,None,"('N', 'o', 'n', 'e')",None,None
4776,0.55,0.5060465335845947,None,"('N', 'o', 'n', 'e')",None,None
5201,0.59,0.4941678047180176,None,"('N', 'o', 'n', 'e')",None,None
5615,0.54,0.526564359664917,None,"('N', 'o', 'n', 'e')",None,None
6039,0.55,0.5356020927429199,None,"('N', 'o', 'n', 'e')",None,None
6447,0.54,0.5205202102661133,None,"('N', 'o', 'n', 'e')",None,None
6879,0.54,0.5273604393005371,None,"('N', 'o', 'n', 'e')",None,None
7306,0.55,0.529728889465332,None,"('N', 'o', 'n', 'e')",None,None
7713,0.54,0.5184605121612549,None,"('N', 'o', 'n', 'e')",None,None
8132,0.56,0.5484251976013184,None,"('N', 'o', 'n', 'e')",None,None
8560,0.57,0.5508594512939453,None,"('N', 'o', 'n', 'e')",None,None
8967,0.57,0.5581114292144775,None,"('N', 'o', 'n', 'e')",None,None
9380,0.57,0.5577070713043213,None,"('N', 'o', 'n', 'e')",None,None
9808,0.56,0.5449702739715576,None,"('N', 'o', 'n', 'e')",None,None
10238,0.58,0.5667140483856201,None,"('N', 'o', 'n', 'e')",None,None
10664,0.56,0.542121171951294,None,"('N', 'o', 'n', 'e')",None,None
11069,0.55,0.5374033451080322,None,"('N', 'o', 'n', 'e')",None,None
11494,0.54,0.5232698917388916,None,"('N', 'o', 'n', 'e')",None,None
11921,0.55,0.5331201553344727,None,"('N', 'o', 'n', 'e')",None,None
12336,0.53,0.5167372226715088,None,"('N', 'o', 'n', 'e')",None,None
12748,0.53,0.5172686576843262,None,"('N', 'o', 'n', 'e')",None,None
13176,0.56,0.5393037796020508,None,"('N', 'o', 'n', 'e')",None,None
13594,0.53,0.5153098106384277,None,"('N', 'o', 'n', 'e')",None,None
14009,0.53,0.5170450210571289,None,"('N', 'o', 'n', 'e')",None,None
14430,0.55,0.5302786827087402,None,"('N', 'o', 'n', 'e')",None,None
14857,0.57,0.552161455154419,None,"('N', 'o', 'n', 'e')",None,None
15269,0.54,0.5225770473480225,None,"('N', 'o', 'n', 'e')",None,None
15700,0.55,0.5363891124725342,None,"('N', 'o', 'n', 'e')",None,None
16118,0.54,0.5258903503417969,None,"('N', 'o', 'n', 'e')",None,None
16545,0.55,0.5382664203643799,None,"('N', 'o', 'n', 'e')",None,None
16951,0.54,0.5238211154937744,None,"('N', 'o', 'n', 'e')",None,None
17368,0.57,0.5546960830688477,None,"('N', 'o', 'n', 'e')",None,None
17797,0.55,0.5371220111846924,None,"('N', 'o', 'n', 'e')",None,None
18213,0.54,0.5226919651031494,None,"('N', 'o', 'n', 'e')",None,None
18634,0.56,0.5426313877105713,None,"('N', 'o', 'n', 'e')",None,None
19056,0.55,0.529686450958252,None,"('N', 'o', 'n', 'e')",None,None
19461,0.53,0.51513671875,None,"('N', 'o', 'n', 'e')",None,None
19888,0.54,0.527806282043457,None,"('N', 'o', 'n', 'e')",None,None
20296,0.54,0.5268068313598633,None,"('N', 'o', 'n', 'e')",None,None
20721,0.57,0.5518181324005127,None,"('N', 'o', 'n', 'e')",None,None
21139,0.55,0.5370335578918457,None,"('N', 'o', 'n', 'e')",None,None
21553,0.53,0.5147924423217773,None,"('N', 'o', 'n', 'e')",None,None
21994,0.56,0.54730224609375,None,"('N', 'o', 'n', 'e')",None,None
22415,0.55,0.529517650604248,None,"('N', 'o', 'n', 'e')",None,None
22832,0.54,0.5268945693969727,None,"('N', 'o', 'n', 'e')",None,None
23225,0.51,0.4971022605895996,None,"('N', 'o', 'n', 'e')",None,None
23650,0.55,0.5368669033050537,None,"('N', 'o', 'n', 'e')",None,None
24087,0.54,0.5247757434844971,None,"('N', 'o', 'n', 'e')",None,None
24508,0.54,0.5261847972869873,None,"('N', 'o', 'n', 'e')",None,None
24935,0.54,0.5274467468261719,None,"('N', 'o', 'n', 'e')",None,None
25369,0.55,0.5384635925292969,None,"('N', 'o', 'n', 'e')",None,None
25776,0.54,0.5195071697235107,None,"('N', 'o', 'n', 'e')",None,None
26199,0.55,0.5327916145324707,None,"('N', 'o', 'n', 'e')",None,None
26611,0.53,0.5099890232086182,None,"('N', 'o', 'n', 'e')",None,None
27031,0.54,0.5264356136322021,None,"('N', 'o', 'n', 'e')",None,None
27454,0.53,0.5100057125091553,None,"('N', 'o', 'n', 'e')",None,None
27878,0.56,0.5426275730133057,None,"('N', 'o', 'n', 'e')",None,None
