update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
897,1.82,0.7668042182922363,None,"('N', 'o', 'n', 'e')",None,None
1226,0.52,0.5009291172027588,None,"('N', 'o', 'n', 'e')",None,None
1559,0.51,0.4952676296234131,None,"('N', 'o', 'n', 'e')",None,None
1886,0.52,0.5053620338439941,None,"('N', 'o', 'n', 'e')",None,None
2216,0.53,0.5113134384155273,None,"('N', 'o', 'n', 'e')",None,None
2507,0.52,0.504131555557251,None,"('N', 'o', 'n', 'e')",None,None
2880,0.54,0.5266101360321045,None,"('N', 'o', 'n', 'e')",None,None
3203,0.52,0.5081148147583008,None,"('N', 'o', 'n', 'e')",None,None
3537,0.51,0.4945685863494873,None,"('N', 'o', 'n', 'e')",None,None
3861,0.52,0.49932432174682617,None,"('N', 'o', 'n', 'e')",None,None
4181,0.52,0.5073444843292236,None,"('N', 'o', 'n', 'e')",None,None
4495,0.52,0.5036110877990723,None,"('N', 'o', 'n', 'e')",None,None
4847,0.56,0.54477858543396,None,"('N', 'o', 'n', 'e')",None,None
5181,0.53,0.5151278972625732,None,"('N', 'o', 'n', 'e')",None,None
5511,0.55,0.5384562015533447,None,"('N', 'o', 'n', 'e')",None,None
5844,0.52,0.5069196224212646,None,"('N', 'o', 'n', 'e')",None,None
6176,0.54,0.524914026260376,None,"('N', 'o', 'n', 'e')",None,None
6507,0.53,0.5157537460327148,None,"('N', 'o', 'n', 'e')",None,None
6837,0.52,0.5045132637023926,None,"('N', 'o', 'n', 'e')",None,None
7168,0.53,0.5137345790863037,None,"('N', 'o', 'n', 'e')",None,None
7496,0.56,0.540351390838623,None,"('N', 'o', 'n', 'e')",None,None
7824,0.53,0.5101790428161621,None,"('N', 'o', 'n', 'e')",None,None
8151,0.52,0.49921417236328125,None,"('N', 'o', 'n', 'e')",None,None
8481,0.51,0.49318480491638184,None,"('N', 'o', 'n', 'e')",None,None
8810,0.52,0.5082783699035645,None,"('N', 'o', 'n', 'e')",None,None
9144,0.51,0.497053861618042,None,"('N', 'o', 'n', 'e')",None,None
9471,0.56,0.5431740283966064,None,"('N', 'o', 'n', 'e')",None,None
9808,0.53,0.5162694454193115,None,"('N', 'o', 'n', 'e')",None,None
10135,0.53,0.5125629901885986,None,"('N', 'o', 'n', 'e')",None,None
10461,0.51,0.4955897331237793,None,"('N', 'o', 'n', 'e')",None,None
10789,0.53,0.5141003131866455,None,"('N', 'o', 'n', 'e')",None,None
11118,0.53,0.5173277854919434,None,"('N', 'o', 'n', 'e')",None,None
11448,0.54,0.5259408950805664,None,"('N', 'o', 'n', 'e')",None,None
11786,0.54,0.5254547595977783,None,"('N', 'o', 'n', 'e')",None,None
12120,0.53,0.5102195739746094,None,"('N', 'o', 'n', 'e')",None,None
12454,0.52,0.5057687759399414,None,"('N', 'o', 'n', 'e')",None,None
12774,0.53,0.5185546875,None,"('N', 'o', 'n', 'e')",None,None
13111,0.52,0.5034241676330566,None,"('N', 'o', 'n', 'e')",None,None
13443,0.53,0.5160725116729736,None,"('N', 'o', 'n', 'e')",None,None
13762,0.54,0.5247199535369873,None,"('N', 'o', 'n', 'e')",None,None
14098,0.53,0.5140717029571533,None,"('N', 'o', 'n', 'e')",None,None
14427,0.51,0.4941446781158447,None,"('N', 'o', 'n', 'e')",None,None
14754,0.53,0.5135962963104248,None,"('N', 'o', 'n', 'e')",None,None
15081,0.54,0.5204389095306396,None,"('N', 'o', 'n', 'e')",None,None
15412,0.51,0.49718594551086426,None,"('N', 'o', 'n', 'e')",None,None
15747,0.52,0.5074553489685059,None,"('N', 'o', 'n', 'e')",None,None
16077,0.54,0.5233211517333984,None,"('N', 'o', 'n', 'e')",None,None
16412,0.53,0.5127913951873779,None,"('N', 'o', 'n', 'e')",None,None
16734,0.54,0.5256679058074951,None,"('N', 'o', 'n', 'e')",None,None
17068,0.53,0.5182392597198486,None,"('N', 'o', 'n', 'e')",None,None
17394,0.56,0.5398328304290771,None,"('N', 'o', 'n', 'e')",None,None
17724,0.53,0.509080171585083,None,"('N', 'o', 'n', 'e')",None,None
18057,0.53,0.5165727138519287,None,"('N', 'o', 'n', 'e')",None,None
18391,0.53,0.5136699676513672,None,"('N', 'o', 'n', 'e')",None,None
18715,0.53,0.5179605484008789,None,"('N', 'o', 'n', 'e')",None,None
19051,0.53,0.5142736434936523,None,"('N', 'o', 'n', 'e')",None,None
19383,0.54,0.5193860530853271,None,"('N', 'o', 'n', 'e')",None,None
19705,0.51,0.49511051177978516,None,"('N', 'o', 'n', 'e')",None,None
20035,0.52,0.5081446170806885,None,"('N', 'o', 'n', 'e')",None,None
20372,0.52,0.505939245223999,None,"('N', 'o', 'n', 'e')",None,None
20702,0.54,0.5209522247314453,None,"('N', 'o', 'n', 'e')",None,None
21036,0.52,0.5080993175506592,None,"('N', 'o', 'n', 'e')",None,None
21361,0.54,0.518390417098999,None,"('N', 'o', 'n', 'e')",None,None
21681,0.5,0.48253369331359863,None,"('N', 'o', 'n', 'e')",None,None
22014,0.53,0.5096659660339355,None,"('N', 'o', 'n', 'e')",None,None
22345,0.52,0.4986560344696045,None,"('N', 'o', 'n', 'e')",None,None
22668,0.55,0.5354435443878174,None,"('N', 'o', 'n', 'e')",None,None
23005,0.53,0.5179686546325684,None,"('N', 'o', 'n', 'e')",None,None
23335,0.52,0.5056097507476807,None,"('N', 'o', 'n', 'e')",None,None
23665,0.51,0.4966433048248291,None,"('N', 'o', 'n', 'e')",None,None
23997,0.56,0.5401637554168701,None,"('N', 'o', 'n', 'e')",None,None
24311,0.54,0.5215697288513184,None,"('N', 'o', 'n', 'e')",None,None
24631,0.56,0.5447583198547363,None,"('N', 'o', 'n', 'e')",None,None
24969,0.53,0.5096964836120605,None,"('N', 'o', 'n', 'e')",None,None
25309,0.54,0.5242753028869629,None,"('N', 'o', 'n', 'e')",None,None
25643,0.53,0.5093903541564941,None,"('N', 'o', 'n', 'e')",None,None
25969,0.53,0.5098624229431152,None,"('N', 'o', 'n', 'e')",None,None
26292,0.52,0.5083796977996826,None,"('N', 'o', 'n', 'e')",None,None
26630,0.53,0.5098080635070801,None,"('N', 'o', 'n', 'e')",None,None
26961,0.53,0.5163893699645996,None,"('N', 'o', 'n', 'e')",None,None
27285,0.53,0.5131983757019043,None,"('N', 'o', 'n', 'e')",None,None
27619,0.53,0.5137062072753906,None,"('N', 'o', 'n', 'e')",None,None
27949,0.54,0.5260274410247803,None,"('N', 'o', 'n', 'e')",None,None
28274,0.51,0.4987449645996094,None,"('N', 'o', 'n', 'e')",None,None
28611,0.52,0.5086977481842041,None,"('N', 'o', 'n', 'e')",None,None
28945,0.55,0.5290136337280273,None,"('N', 'o', 'n', 'e')",None,None
29272,0.51,0.49440956115722656,None,"('N', 'o', 'n', 'e')",None,None
29613,0.53,0.5127403736114502,None,"('N', 'o', 'n', 'e')",None,None
29945,0.53,0.5153484344482422,None,"('N', 'o', 'n', 'e')",None,None
30262,0.52,0.5083000659942627,None,"('N', 'o', 'n', 'e')",None,None
30594,0.52,0.5037143230438232,None,"('N', 'o', 'n', 'e')",None,None
30930,0.52,0.507927417755127,None,"('N', 'o', 'n', 'e')",None,None
