update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
979,1.67,1.4342353343963623,[-17.4363338   -1.94581844 133.5       ],"(-9, -1, 13)",[24 10 17 23],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.7]
 [-10.    0.3]]"
1399,1.91,1.2265067100524902,[-10.8839286    4.38651716 142.5       ],"(-6, 2, 14)",[29 24  1  8],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
1820,2.04,1.225235939025879,[-10.61744331   5.45343268 138.5       ],"(-6, 2, 13)",[11 23  5 12],"[[ 10.    0.3]
 [-10.    0.3]
 [  0.    0.7]
 [ 10.    0.3]]"
2233,2.15,1.3160994052886963,[-10.80879845   4.28309205 142.5       ],"(-6, 2, 14)",[30 24 29 10],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]]"
2668,2.02,1.307163953781128,[ -9.64069394   5.72364868 146.        ],"(-5, 2, 14)",[ 5 11  2  1],"[[ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
3086,2.15,1.33481764793396,[ -9.82280411   5.69803385 138.        ],"(-5, 2, 13)",[23 24 22 30],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
3513,2.08,1.283447027206421,[-10.40820774   4.37197859 143.5       ],"(-6, 2, 14)",[ 2  5 11  1],"[[ 0.   0.3]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
3937,1.95,1.2097632884979248,[ -9.91156537   5.7743281  141.5       ],"(-5, 2, 14)",[24 26 23 15],"[[-10.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
4353,1.98,1.2682032585144043,[ -9.48249355   5.94456704 137.5       ],"(-5, 2, 13)",[ 5  2 11 12],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.3]
 [10.   0.3]]"
4780,1.99,1.2534492015838623,[ -9.87875836   6.64852551 141.5       ],"(-5, 3, 14)",[24 10 23 26],"[[-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
5184,2.0,1.230909824371338,[-10.37866596   3.99709943 135.5       ],"(-6, 1, 13)",[ 5  1 19 11],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.3]]"
5616,2.17,1.3562886714935303,[-10.89091916   4.27922366 144.5       ],"(-6, 2, 14)",[29 24 10 23],"[[  0.    0.3]
 [-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]]"
6020,1.95,1.181204080581665,[-10.43750744   5.37768371 135.5       ],"(-6, 2, 13)",[30  5 19  1],"[[ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
6459,2.01,1.2203869819641113,[-10.93185459   4.89656133 145.        ],"(-6, 2, 14)",[24 17 23 15],"[[-10.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
6870,1.96,1.181257963180542,[-10.63054405   4.71993561 135.        ],"(-6, 2, 13)",[ 5 11  1 19],"[[ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
7291,2.03,1.2457480430603027,[-11.3925349    4.10218405 143.5       ],"(-6, 2, 14)",[24 10 23 17],"[[-10.    0.3]
 [ 10.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
7703,1.82,1.1363916397094727,[ -9.90297596   5.02109692 134.5       ],"(-5, 2, 13)",[ 1  5 25 19],"[[  0.    0.3]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
8133,2.1,1.2607052326202393,[-10.47757812   4.19827922 137.5       ],"(-6, 2, 13)",[24 10 15 29],"[[-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]]"
8550,2.08,1.234462022781372,[-10.85962537   4.80371996 137.        ],"(-6, 2, 13)",[ 1  5 11 19],"[[ 0.   0.3]
 [ 0.   0.7]
 [10.   0.3]
 [10.   0.7]]"
8972,2.25,1.3262689113616943,[ -9.86770616   5.77282447 140.5       ],"(-5, 2, 14)",[24 29 15 10],"[[-10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
9384,2.05,1.1939949989318848,[ -9.308676     5.81483937 133.5       ],"(-5, 2, 13)",[ 1  5 19 11],"[[ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]
 [10.   0.3]]"
9802,2.03,1.2438433170318604,[ -9.80828435   5.38176242 139.5       ],"(-5, 2, 13)",[26 24 22 15],"[[-10.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]]"
10212,2.07,1.2508461475372314,[-11.07300123   4.96969957 133.5       ],"(-6, 2, 13)",[ 5  1 11 30],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]]"
10634,2.05,1.2976737022399902,[-10.56276423   4.46913978 141.        ],"(-6, 2, 14)",[10 24 15 22],"[[ 10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]]"
11063,1.94,1.2037336826324463,[-11.22266913   4.50416628 140.5       ],"(-6, 2, 14)",[ 5  1 30 14],"[[ 0.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
11494,2.19,1.305382490158081,[-10.75479855   3.87768763 142.        ],"(-6, 1, 14)",[15 10  2 25],"[[ 10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
11917,2.22,1.3023772239685059,[ -9.84305538   5.71960008 138.        ],"(-5, 2, 13)",[24 30 22 28],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
12329,1.9,1.1499512195587158,[-10.65447632   4.29808865 138.        ],"(-6, 2, 13)",[18 19  5 14],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
12758,2.08,1.319939374923706,[-11.07386538   4.58401339 143.        ],"(-6, 2, 14)",[26  1 22 29],"[[-10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
13171,2.2,1.3319079875946045,[-11.61553318   3.01968138 139.5       ],"(-6, 1, 13)",[10  5 12 31],"[[10.   0.3]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
13592,2.29,1.3638639450073242,[-11.17237698   3.82587823 140.5       ],"(-6, 1, 14)",[32 22 26 31],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
14007,2.2,1.3397226333618164,[-11.85746173   3.43288117 137.5       ],"(-6, 1, 13)",[22 24 29 17],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
14436,2.24,1.3332436084747314,[-10.31092541   4.05249106 143.        ],"(-6, 2, 14)",[32 18  1 11],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.3]]"
14857,2.22,1.3598670959472656,[-11.52201634   3.51448299 141.        ],"(-6, 1, 14)",[22 29 24 15],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
15276,2.28,1.2481000423431396,[-10.04454417   5.10972913 137.5       ],"(-6, 2, 13)",[30  1  5 19],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]]"
15673,2.19,1.3484678268432617,[-11.40352986   3.33069076 130.5       ],"(-6, 1, 13)",[22 24 29 31],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
16115,2.14,1.320603847503662,[-10.5038978    3.37788809 147.5       ],"(-6, 1, 14)",[30 32 18  1],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
16525,2.05,1.2980999946594238,[-10.21946386   4.37404962 134.        ],"(-6, 2, 13)",[22 24 10 15],"[[  0.    0.3]
 [-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]]"
16945,2.09,1.2427637577056885,[-11.35412984   4.78520111 139.        ],"(-6, 2, 13)",[32  1 14 18],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
17356,2.21,1.3477139472961426,[-10.00728922   3.12171598 136.5       ],"(-6, 1, 13)",[32 31 10 17],"[[  0.    0.3]
 [  0.    0.3]
 [ 10.    0.3]
 [-10.    0.7]]"
17801,2.33,1.3721001148223877,[-10.58061143   2.67056521 150.5       ],"(-6, 1, 15)",[22 24 30 29],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
18225,2.11,1.3115451335906982,[ -9.93753689   4.45232539 141.        ],"(-5, 2, 14)",[31 11 18 10],"[[ 0.   0.3]
 [10.   0.3]
 [10.   0.7]
 [10.   0.3]]"
18636,2.22,1.373070240020752,[-10.79444837   3.52238194 139.5       ],"(-6, 1, 13)",[24 22 32 29],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
19054,2.18,1.3202335834503174,[-10.82980926   3.56585101 140.        ],"(-6, 1, 14)",[31 33  1 19],"[[ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
19475,2.19,1.3239247798919678,[-10.65750669   3.57548464 143.5       ],"(-6, 1, 14)",[22 24 29 17],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
19901,2.19,1.3850431442260742,[-11.08064727   4.85284231 139.        ],"(-6, 2, 13)",[31 11 33  1],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
20310,2.2,1.2964799404144287,[-10.37702229   4.52079824 135.        ],"(-6, 2, 13)",[24 22 29  7],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
20737,2.07,1.3104240894317627,[-10.92563878   5.21928875 144.        ],"(-6, 2, 14)",[30 31  1  5],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.7]]"
21160,2.16,1.2799417972564697,[-11.40375815   3.49229337 138.5       ],"(-6, 1, 13)",[24 22  7  4],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
21584,2.21,1.3229858875274658,[-10.7409964    5.22397304 140.        ],"(-6, 2, 14)",[30 14 11  1],"[[ 0.   0.3]
 [10.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
21998,2.15,1.3204503059387207,[-11.4704005   3.1147078 139.       ],"(-6, 1, 13)",[22 24 15 25],"[[  0.    0.3]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
22413,2.23,1.4162967205047607,[-11.24838935   4.76376759 142.5       ],"(-6, 2, 14)",[30 11  1 10],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [10.   0.3]]"
22837,2.26,1.38309645652771,[-11.52209221   3.80413783 145.        ],"(-6, 1, 14)",[32 24 22 29],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
23247,2.05,1.1927711963653564,[-11.24491633   4.10493062 139.5       ],"(-6, 2, 13)",[19  5 18 14],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [10.   0.7]]"
23670,2.21,1.3303155899047852,[-10.1501074    5.47715566 138.5       ],"(-6, 2, 13)",[26  1 32 33],"[[-10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
