update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
894,2.42,1.3288490772247314,[-17.4363338   -1.94581844 114.5       ],"(-9, -1, 11)",[14 29  1 19],"[[ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
1223,1.4,1.1712172031402588,[ -4.81219392   8.44201928 109.5       ],"(-3, 4, 10)",[24  7 33 15],"[[-10.    0.3]
 [  0.    0.7]
 [  0.    0.7]
 [ 10.    0.7]]"
1550,1.16,1.1479084491729736,[ -5.57851412   8.98852383 111.5       ],"(-3, 4, 11)",[14 16 23 29],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
1881,1.18,1.165238618850708,[ -4.6884052    9.28130786 112.5       ],"(-3, 4, 11)",[ 7 24 15 33],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [  0.    0.7]]"
2204,1.14,1.123220682144165,[ -5.48782608   9.45781786 109.        ],"(-3, 4, 10)",[14 17 29 18],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]]"
2550,1.27,1.2584445476531982,[ -5.41469867   7.99902155 115.5       ],"(-3, 3, 11)",[15  7 24 16],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
2874,1.15,1.1381661891937256,[ -4.75027834   8.69588801 109.        ],"(-3, 4, 10)",[14 17 29  1],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.3]]"
3201,1.22,1.2086095809936523,[ -5.73854533   7.8648403  105.5       ],"(-3, 3, 10)",[ 7 15 33 24],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
3538,1.17,1.1557142734527588,[ -4.15665665  10.52242764 110.5       ],"(-3, 5, 11)",[20 14 17  1],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
3860,1.16,1.1439578533172607,[ -4.16431926  10.1855732  106.5       ],"(-3, 5, 10)",[15  7 10 33],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.3]
 [  0.    0.7]]"
