update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
900,2.66,1.6279351711273193,[-17.4363338   -1.94581844 106.        ],"(-9, -1, 10)",[32 31 24 34],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
1232,1.93,1.3772125244140625,[-10.00222015   5.25114267 111.5       ],"(-6, 2, 11)",[33 35  1 31],"[[0.  0.3]
 [0.  0.3]
 [0.  0.3]
 [0.  0.3]]"
1559,1.38,1.367889165878296,[ -8.82700327   5.63313544 110.        ],"(-5, 2, 11)",[32 34 15 24],"[[  0.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
1889,1.24,1.2196755409240723,[ -9.70090619   5.06485593 108.        ],"(-5, 2, 10)",[40 35 18 19],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
2220,1.31,1.297461748123169,[ -9.45262803   3.59791041 108.        ],"(-5, 1, 10)",[15 32 26  7],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
2554,1.35,1.338350534439087,[ -8.71022195   4.40430743 109.        ],"(-5, 2, 10)",[41 33 40 11],"[[ 0.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]
 [10.   0.3]]"
2875,1.4,1.3814754486083984,[-11.0617675    2.60153734 107.5       ],"(-6, 1, 10)",[32 34 15  7],"[[ 0.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
3207,1.36,1.3461453914642334,[ -9.9782815    4.89799473 111.        ],"(-5, 2, 11)",[41 31 40 35],"[[0.  0.7]
 [0.  0.3]
 [0.  0.7]
 [0.  0.3]]"
3543,1.36,1.3456645011901855,[-11.11896177   4.15670127 110.        ],"(-6, 2, 11)",[32  7 15  4],"[[  0.    0.3]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
3878,1.3,1.2855772972106934,[-10.29016909   5.6383044  111.5       ],"(-6, 2, 11)",[41 35 40 31],"[[0.  0.7]
 [0.  0.3]
 [0.  0.7]
 [0.  0.3]]"
