update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
962,1.62,0.5225956439971924,None,"('N', 'o', 'n', 'e')",None,None
1290,0.56,0.5430691242218018,None,"('N', 'o', 'n', 'e')",None,None
1617,0.54,0.5281469821929932,None,"('N', 'o', 'n', 'e')",None,None
1952,0.53,0.5103628635406494,None,"('N', 'o', 'n', 'e')",None,None
2283,0.53,0.5106639862060547,None,"('N', 'o', 'n', 'e')",None,None
2604,0.5,0.48559141159057617,None,"('N', 'o', 'n', 'e')",None,None
2937,0.54,0.5286979675292969,None,"('N', 'o', 'n', 'e')",None,None
3267,0.52,0.5034377574920654,None,"('N', 'o', 'n', 'e')",None,None
3594,0.53,0.5143508911132812,None,"('N', 'o', 'n', 'e')",None,None
3923,0.53,0.5090436935424805,None,"('N', 'o', 'n', 'e')",None,None
4256,0.52,0.5061628818511963,None,"('N', 'o', 'n', 'e')",None,None
4591,0.53,0.5130796432495117,None,"('N', 'o', 'n', 'e')",None,None
4921,0.52,0.5069940090179443,None,"('N', 'o', 'n', 'e')",None,None
5255,0.53,0.5166916847229004,None,"('N', 'o', 'n', 'e')",None,None
5578,0.52,0.5019419193267822,None,"('N', 'o', 'n', 'e')",None,None
5901,0.52,0.49884510040283203,None,"('N', 'o', 'n', 'e')",None,None
6229,0.52,0.5087058544158936,None,"('N', 'o', 'n', 'e')",None,None
6560,0.5,0.4872004985809326,None,"('N', 'o', 'n', 'e')",None,None
6887,0.5,0.48861217498779297,None,"('N', 'o', 'n', 'e')",None,None
7212,0.5,0.4861273765563965,None,"('N', 'o', 'n', 'e')",None,None
7559,0.54,0.519258975982666,None,"('N', 'o', 'n', 'e')",None,None
7895,0.55,0.535576581954956,None,"('N', 'o', 'n', 'e')",None,None
8222,0.52,0.5061266422271729,None,"('N', 'o', 'n', 'e')",None,None
8552,0.52,0.5064859390258789,None,"('N', 'o', 'n', 'e')",None,None
8876,0.5,0.48204827308654785,None,"('N', 'o', 'n', 'e')",None,None
9205,0.5,0.4867210388183594,None,"('N', 'o', 'n', 'e')",None,None
9537,0.56,0.53993821144104,None,"('N', 'o', 'n', 'e')",None,None
9869,0.52,0.5036914348602295,None,"('N', 'o', 'n', 'e')",None,None
10200,0.53,0.5151078701019287,None,"('N', 'o', 'n', 'e')",None,None
10534,0.52,0.5085849761962891,None,"('N', 'o', 'n', 'e')",None,None
10859,0.53,0.5112812519073486,None,"('N', 'o', 'n', 'e')",None,None
11187,0.52,0.5078418254852295,None,"('N', 'o', 'n', 'e')",None,None
11516,0.52,0.5048243999481201,None,"('N', 'o', 'n', 'e')",None,None
11847,0.51,0.49767589569091797,None,"('N', 'o', 'n', 'e')",None,None
12186,0.57,0.5527164936065674,None,"('N', 'o', 'n', 'e')",None,None
12513,0.53,0.5164186954498291,None,"('N', 'o', 'n', 'e')",None,None
12839,0.52,0.5086367130279541,None,"('N', 'o', 'n', 'e')",None,None
13163,0.52,0.5057837963104248,None,"('N', 'o', 'n', 'e')",None,None
13498,0.54,0.5255434513092041,None,"('N', 'o', 'n', 'e')",None,None
13826,0.5,0.48260068893432617,None,"('N', 'o', 'n', 'e')",None,None
14156,0.51,0.49390339851379395,None,"('N', 'o', 'n', 'e')",None,None
14492,0.51,0.49762940406799316,None,"('N', 'o', 'n', 'e')",None,None
14827,0.51,0.4978950023651123,None,"('N', 'o', 'n', 'e')",None,None
15151,0.52,0.5042543411254883,None,"('N', 'o', 'n', 'e')",None,None
15473,0.53,0.5102410316467285,None,"('N', 'o', 'n', 'e')",None,None
15816,0.49,0.47742676734924316,None,"('N', 'o', 'n', 'e')",None,None
16151,0.5,0.4861135482788086,None,"('N', 'o', 'n', 'e')",None,None
16468,0.5,0.48090529441833496,None,"('N', 'o', 'n', 'e')",None,None
16792,0.5,0.48632049560546875,None,"('N', 'o', 'n', 'e')",None,None
17123,0.54,0.5188772678375244,None,"('N', 'o', 'n', 'e')",None,None
17463,0.53,0.5161185264587402,None,"('N', 'o', 'n', 'e')",None,None
17791,0.52,0.5045835971832275,None,"('N', 'o', 'n', 'e')",None,None
18125,0.52,0.5044455528259277,None,"('N', 'o', 'n', 'e')",None,None
18453,0.54,0.5260541439056396,None,"('N', 'o', 'n', 'e')",None,None
18782,0.53,0.5157585144042969,None,"('N', 'o', 'n', 'e')",None,None
19103,0.49,0.47739601135253906,None,"('N', 'o', 'n', 'e')",None,None
19432,0.52,0.5050134658813477,None,"('N', 'o', 'n', 'e')",None,None
19771,0.53,0.5127406120300293,None,"('N', 'o', 'n', 'e')",None,None
20103,0.51,0.49572253227233887,None,"('N', 'o', 'n', 'e')",None,None
20432,0.54,0.5225369930267334,None,"('N', 'o', 'n', 'e')",None,None
20759,0.54,0.5275278091430664,None,"('N', 'o', 'n', 'e')",None,None
21092,0.56,0.5425717830657959,None,"('N', 'o', 'n', 'e')",None,None
21423,0.53,0.5122764110565186,None,"('N', 'o', 'n', 'e')",None,None
21753,0.52,0.5050747394561768,None,"('N', 'o', 'n', 'e')",None,None
22082,0.51,0.49181103706359863,None,"('N', 'o', 'n', 'e')",None,None
22403,0.51,0.48901915550231934,None,"('N', 'o', 'n', 'e')",None,None
22735,0.5,0.48691415786743164,None,"('N', 'o', 'n', 'e')",None,None
23064,0.5,0.48836612701416016,None,"('N', 'o', 'n', 'e')",None,None
23399,0.5,0.4858427047729492,None,"('N', 'o', 'n', 'e')",None,None
23741,0.53,0.5096457004547119,None,"('N', 'o', 'n', 'e')",None,None
24072,0.54,0.5272915363311768,None,"('N', 'o', 'n', 'e')",None,None
24386,0.53,0.5153543949127197,None,"('N', 'o', 'n', 'e')",None,None
24716,0.54,0.5253453254699707,None,"('N', 'o', 'n', 'e')",None,None
25056,0.55,0.5368256568908691,None,"('N', 'o', 'n', 'e')",None,None
25383,0.53,0.5151321887969971,None,"('N', 'o', 'n', 'e')",None,None
25712,0.55,0.5373289585113525,None,"('N', 'o', 'n', 'e')",None,None
26039,0.53,0.5119340419769287,None,"('N', 'o', 'n', 'e')",None,None
26361,0.51,0.4961714744567871,None,"('N', 'o', 'n', 'e')",None,None
26694,0.52,0.5061624050140381,None,"('N', 'o', 'n', 'e')",None,None
27028,0.52,0.5074212551116943,None,"('N', 'o', 'n', 'e')",None,None
27372,0.53,0.5180389881134033,None,"('N', 'o', 'n', 'e')",None,None
27707,0.52,0.5023386478424072,None,"('N', 'o', 'n', 'e')",None,None
28026,0.52,0.5066854953765869,None,"('N', 'o', 'n', 'e')",None,None
28346,0.54,0.5245280265808105,None,"('N', 'o', 'n', 'e')",None,None
28681,0.55,0.5339987277984619,None,"('N', 'o', 'n', 'e')",None,None
29012,0.52,0.5031700134277344,None,"('N', 'o', 'n', 'e')",None,None
29348,0.52,0.5071220397949219,None,"('N', 'o', 'n', 'e')",None,None
29669,0.52,0.5088253021240234,None,"('N', 'o', 'n', 'e')",None,None
