update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
951,2.54,0.6197960376739502,[-17.4363338   -1.94581844 110.        ],"(-9, -1, 11)","[6, 1]","[(0, 0.7), (10, 0.3)]"
1289,0.82,0.7994260787963867,[-11.03667033   4.7829716  112.5       ],"(-6, 2, 11)","[10, 8, 4, 0]","[(10, 0.7), (0, 0.7), (0, 0.7), (10, 0.3)]"
1626,0.77,0.7534198760986328,[-10.47929827   4.38213667 113.5       ],"(-6, 2, 11)","[8, 10, 4, 7]","[(0, 0.7), (10, 0.7), (0, 0.7), (0, 0.7)]"
1950,0.83,0.8116958141326904,[ -8.7993497    6.76202759 109.5       ],"(-5, 3, 10)","[6, 1, 0]","[(0, 0.7), (10, 0.3), (10, 0.3)]"
2286,0.81,0.7937583923339844,[ -7.9897693    6.43250698 115.        ],"(-4, 3, 11)","[8, 7, 10, 4]","[(0, 0.7), (10, 0.7), (10, 0.7), (0, 0.7)]"
2620,0.86,0.842644214630127,[-11.43451525   3.7260569  112.        ],"(-6, 1, 11)","[7, 8, 1, 6]","[(10, 0.7), (0, 0.7), (10, 0.3), (0, 0.7)]"
2954,0.84,0.8197817802429199,[-12.18763111   3.96558989 110.5       ],"(-7, 1, 11)","[8, 7, 4, 12]","[(0, 0.7), (10, 0.7), (0, 0.7), (10, 0.7)]"
3280,0.9,0.8829243183135986,[ -8.762302     6.12827643 110.        ],"(-5, 3, 11)","[7, 1, 6, 14]","[(10, 0.7), (10, 0.3), (0, 0.7), (10, 0.7)]"
3597,0.83,0.8172788619995117,[ -8.10019749   6.20753141 107.        ],"(-5, 3, 10)","[11, 12, 8, 10]","[(10, 0.7), (10, 0.7), (0, 0.7), (10, 0.7)]"
3925,0.94,0.9216108322143555,[ -7.67409493   7.64771451 109.5       ],"(-4, 3, 10)","[14, 7, 6, 1]","[(10, 0.7), (10, 0.7), (0, 0.7), (10, 0.3)]"
