update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
977,1.58,1.32682466506958,[-17.4363338   -1.94581844 137.        ],"(-9, -1, 13)","[14, 1, 11, 20]","[(10, 0.7), (10, 0.3), (-10, 0.7), (-10, 0.3)]"
1405,1.59,0.9451866149902344,[-12.93568108  -0.40621941 145.5       ],"(-7, -1, 14)","[21, 6, 19, 15]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (-10, 0.7)]"
1820,1.67,1.049506425857544,[-13.05904636   0.52063498 140.        ],"(-7, 0, 14)","[14, 1, 9, 11]","[(10, 0.7), (10, 0.3), (10, 0.7), (-10, 0.7)]"
2236,1.6,0.9266300201416016,[-13.33357189   0.38957208 139.5       ],"(-7, 0, 13)","[21, 6, 19, 15]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (-10, 0.7)]"
2657,1.68,1.0390782356262207,[-12.52113957   0.61860475 139.        ],"(-7, 0, 13)","[14, 1, 9, 11]","[(10, 0.7), (10, 0.3), (10, 0.7), (-10, 0.7)]"
3087,1.48,0.9205279350280762,[-12.79104855   0.23972899 144.5       ],"(-7, 0, 14)","[21, 15, 19, 6]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (-10, 0.7)]"
3498,1.68,0.9940271377563477,[-12.28932099   1.34389436 135.        ],"(-7, 0, 13)","[14, 1, 11, 9]","[(10, 0.7), (10, 0.3), (-10, 0.7), (10, 0.7)]"
3911,1.65,0.9192297458648682,[-11.84512422   1.76502134 136.5       ],"(-6, 0, 13)","[6, 21, 19, 16]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (10, 0.7)]"
4338,1.59,0.9996123313903809,[-12.02537485   2.2074284  140.5       ],"(-7, 1, 14)","[14, 1, 11, 9]","[(10, 0.7), (10, 0.3), (-10, 0.7), (10, 0.7)]"
4763,1.51,0.9124207496643066,[-12.74674585   0.80932756 138.5       ],"(-7, 0, 13)","[21, 15, 19, 6]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (-10, 0.7)]"
5183,1.62,0.9899477958679199,[-12.14898582   1.46660713 140.        ],"(-7, 0, 14)","[14, 1, 9, 11]","[(10, 0.7), (10, 0.3), (10, 0.7), (-10, 0.7)]"
5601,1.68,0.9755208492279053,[-1.32290214e+01  3.69177906e-03  1.40500000e+02],"(-7, 0, 14)","[21, 6, 19, 15]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (-10, 0.7)]"
6024,1.77,1.0885043144226074,[-13.05472229   0.57784981 143.5       ],"(-7, 0, 14)","[14, 1, 9, 2]","[(10, 0.7), (10, 0.3), (10, 0.7), (10, 0.3)]"
6434,1.58,0.9592735767364502,[-12.56874238   0.41819125 137.        ],"(-7, 0, 13)","[21, 15, 19, 6]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (-10, 0.7)]"
6860,1.73,1.0789225101470947,[-12.27851219   1.04523298 142.        ],"(-7, 0, 14)","[14, 11, 9, 1]","[(10, 0.7), (-10, 0.7), (10, 0.7), (10, 0.3)]"
7289,1.57,1.001781702041626,[-12.40753211   1.51254998 142.5       ],"(-7, 0, 14)","[21, 19, 6, 15]","[(-10, 0.7), (10, 0.7), (-10, 0.7), (-10, 0.7)]"
7703,1.64,1.0345709323883057,[-12.8816347    0.43601189 137.5       ],"(-7, 0, 13)","[14, 11, 9, 1]","[(10, 0.7), (-10, 0.7), (10, 0.7), (10, 0.3)]"
8127,1.53,0.9268012046813965,[-12.89294355   0.69132518 140.        ],"(-7, 0, 14)","[21, 6, 19, 10]","[(-10, 0.7), (-10, 0.7), (10, 0.7), (0, 0.7)]"
