update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
958,2.71,0.9219820499420166,[-17.4363338   -1.94581844 107.5       ],"(-9, -1, 10)",[11 21 18  4],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
1287,0.97,0.9575834274291992,[ -8.20323213   7.64430561 109.        ],"(-5, 3, 10)",[14  7 22 23],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
1620,0.97,0.9493861198425293,[ -7.91016536   8.58789498 110.        ],"(-4, 4, 11)",[11  4 21 23],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
1954,1.1,1.0872852802276611,[ -8.33693459   6.88064179 113.        ],"(-5, 3, 11)",[ 7 13 22 19],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
2286,0.97,0.957909107208252,[ -8.14938408   7.54189927 112.        ],"(-5, 3, 11)",[11  4 21 12],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
2609,1.01,0.9890010356903076,[-10.0062124    5.21823298 104.5       ],"(-6, 2, 10)",[ 7 22 13 24],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
2938,0.96,0.9476289749145508,[ -8.21756386   7.25772395 108.        ],"(-5, 3, 10)",[11  4 21 18],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
3269,1.04,1.0185530185699463,[ -8.10637172   8.01549188 113.5       ],"(-5, 4, 11)",[13  7 22 24],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
3595,1.03,1.018634557723999,[ -7.06125254   8.04742218 109.        ],"(-4, 4, 10)",[11  5  4 21],"[[  0.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
3929,1.02,1.0054678916931152,[ -8.39111093   7.76772628 111.        ],"(-5, 3, 11)",[ 7 13 22 24],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
4254,0.95,0.9335818290710449,[ -7.85515332   7.34431582 107.5       ],"(-4, 3, 10)",[11  8  5  4],"[[0.  0.7]
 [0.  0.7]
 [0.  0.7]
 [0.  0.7]]"
4585,1.03,1.0113797187805176,[ -8.96354741   7.4203727  108.5       ],"(-5, 3, 10)",[ 7 13 22 24],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
4918,0.97,0.9527065753936768,[ -7.85236889   7.07008023 109.        ],"(-4, 3, 10)",[ 5  4 12 21],"[[  0.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
5244,1.06,1.038560390472412,[ -7.60904062   8.96152262 107.        ],"(-4, 4, 10)",[ 6 22  1  7],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [ 10.    0.7]]"
5578,1.0,0.987678050994873,[ -7.9864827    7.50097322 111.        ],"(-4, 3, 11)",[18  4 12 21],"[[-10.    0.3]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
5910,1.15,1.129136085510254,[ -8.21158468   7.4736172  111.        ],"(-5, 3, 11)",[ 1 22 19  6],"[[ 10.    0.3]
 [-10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
6236,0.97,0.9572849273681641,[ -7.54484114   6.72467083 107.5       ],"(-4, 3, 10)",[ 8  4 21 11],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
6564,1.02,1.0054969787597656,[ -8.05186362   7.62801081 110.        ],"(-5, 3, 11)",[13 22 24 23],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
6892,1.02,0.9987292289733887,[ -7.9751302    7.33669704 109.        ],"(-4, 3, 10)",[ 4 11 21  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
7224,1.1,1.0797224044799805,[ -8.11405744   7.20048145 111.        ],"(-5, 3, 11)",[ 1 22  6 13],"[[ 10.    0.3]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]]"
7552,1.01,0.9958367347717285,[ -7.90001208   7.39122498 108.5       ],"(-4, 3, 10)",[ 4 11 21  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
7878,1.06,1.038668155670166,[ -7.85290745   7.49919682 108.5       ],"(-4, 3, 10)",[ 6 22  1 24],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [-10.    0.7]]"
8213,1.03,1.0127716064453125,[ -7.59189775   6.87696065 117.        ],"(-4, 3, 11)",[ 4 21 11 18],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
8548,1.12,1.098909854888916,[ -8.01902148   7.50890097 111.5       ],"(-5, 3, 11)",[ 1 22 13 20],"[[ 10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
8879,1.01,0.9910199642181396,[ -7.82543616   6.87762002 110.5       ],"(-4, 3, 11)",[ 4 11 21 18],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
9215,1.13,1.1135516166687012,[ -8.06983655   8.24035413 111.5       ],"(-5, 4, 11)",[22  6  1 13],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.3]
 [ 10.    0.7]]"
9544,0.99,0.9701037406921387,[ -8.55498315   6.26449429 111.5       ],"(-5, 3, 11)",[ 4 11 21  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
9860,1.04,1.0277099609375,[ -8.59754986   5.75420186 106.5       ],"(-5, 2, 10)",[13 22  6  1],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.3]]"
10202,1.05,1.0301928520202637,[ -8.8294312   7.0429972 116.5      ],"(-5, 3, 11)",[11  4 23 21],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
10532,1.11,1.0897057056427002,[ -9.0451122    6.65552339 111.        ],"(-5, 3, 11)",[14  1 22  6],"[[  0.    0.7]
 [ 10.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
