update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
963,1.64,0.5135722160339355,None,"('N', 'o', 'n', 'e')",None,None
1289,0.52,0.505516529083252,None,"('N', 'o', 'n', 'e')",None,None
1627,0.53,0.5095329284667969,None,"('N', 'o', 'n', 'e')",None,None
1960,0.5,0.4839918613433838,None,"('N', 'o', 'n', 'e')",None,None
2290,0.52,0.5053606033325195,None,"('N', 'o', 'n', 'e')",None,None
2612,0.51,0.4985659122467041,None,"('N', 'o', 'n', 'e')",None,None
2953,0.54,0.527430534362793,None,"('N', 'o', 'n', 'e')",None,None
3269,0.49,0.47080516815185547,None,"('N', 'o', 'n', 'e')",None,None
3603,0.53,0.5137512683868408,None,"('N', 'o', 'n', 'e')",None,None
3941,0.52,0.507239580154419,None,"('N', 'o', 'n', 'e')",None,None
