update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
901,2.33,1.3161287307739258,[-17.4363338   -1.94581844 114.        ],"(-9, -1, 11)",[13 11  1  2],"[[10.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
1223,1.1,0.9861752986907959,[ -6.47858274   1.16584315 110.5       ],"(-4, 0, 11)",[15  5 11 12],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [10.   0.3]]"
1545,1.15,1.1361844539642334,[ -6.88789799   2.19682061 109.        ],"(-4, 1, 10)",[13  1  2  0],"[[10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
1877,0.96,0.9423787593841553,[ -5.56184699   2.58491554 110.        ],"(-3, 1, 11)",[16 15 17 13],"[[10.   0.7]
 [10.   0.7]
 [10.   0.7]
 [10.   0.3]]"
2203,1.13,1.1139676570892334,[ -7.82649537   2.66470594 108.        ],"(-4, 1, 10)",[ 1 13  2  0],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
2534,1.13,1.1091930866241455,[-9.73297083e+00 -6.71852218e-03  1.09500000e+02],"(-5, -1, 10)",[11 16 13  1],"[[10.   0.3]
 [10.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
2865,1.2,1.1797380447387695,[-10.84922874  -2.05406273 107.        ],"(-6, -2, 10)",[11 13  1  3],"[[10.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.3]]"
3201,1.14,1.1261875629425049,[ -7.48468923   2.09510305 113.        ],"(-4, 1, 11)",[13 16  1  2],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.3]]"
3531,1.1,1.0837879180908203,[ -9.75050183  -0.52123188 107.5       ],"(-5, -1, 10)",[11 13 18  3],"[[10.   0.3]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
3863,1.2,1.1862270832061768,[ -8.3914889    2.55199486 112.        ],"(-5, 1, 11)",[ 1 13  2 11],"[[ 0.   0.3]
 [10.   0.3]
 [ 0.   0.3]
 [10.   0.3]]"
