update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
893,2.56,1.4668943881988525,[-17.4363338   -1.94581844 113.        ],"(-9, -1, 11)",[13 11 24 22],"[[ 10.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
1222,1.58,1.2555735111236572,[ -9.99170978   3.61772995 109.        ],"(-5, 1, 10)",[11 24 26 15],"[[ 10.    0.3]
 [-10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
1554,1.28,1.2614784240722656,[-10.22699983   3.64954276 107.        ],"(-6, 1, 10)",[11 13 22 24],"[[ 10.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
1884,1.26,1.2482211589813232,[-10.09522347   3.40383645 112.        ],"(-6, 1, 11)",[23 11 26  3],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
2219,1.29,1.2765529155731201,[-10.3548645    2.11279534 109.5       ],"(-6, 1, 10)",[13 24 22 27],"[[ 10.    0.3]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
2540,1.19,1.1756432056427002,[ -8.81202552   1.16766965 112.5       ],"(-5, 0, 11)",[11 19 15 23],"[[ 10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
2868,1.25,1.2288951873779297,[ -9.94628994   2.4668886  107.        ],"(-5, 1, 10)",[24 13 22 21],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
3204,1.25,1.2372915744781494,[-10.00664842   2.27155467 113.5       ],"(-6, 1, 11)",[11 19 26 23],"[[ 10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]]"
3530,1.29,1.2778515815734863,[-10.86149734   2.00409936 108.5       ],"(-6, 1, 10)",[24 13 22 29],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
3857,1.23,1.2180922031402588,[-10.14348144   1.65216644 107.        ],"(-6, 0, 10)",[11  3 19 23],"[[ 10.    0.3]
 [  0.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
