update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
984,1.63,1.442227840423584,[-17.4363338   -1.94581844 144.        ],"(-9, -1, 14)",[24 13 29 21],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
1401,1.9,1.2687804698944092,[-12.68471274   1.97937585 136.5       ],"(-7, 0, 13)",[11 18 19 26],"[[ 10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
1814,2.06,1.285423755645752,[-12.52399942   2.01731317 132.        ],"(-7, 1, 13)",[22 13 17 29],"[[-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
2249,2.08,1.3980143070220947,[-12.21810043   2.27087753 144.5       ],"(-7, 1, 14)",[11  3 26 22],"[[ 10.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
2665,2.0,1.3547797203063965,[-11.60158338   2.615046   139.5       ],"(-6, 1, 13)",[13 11 22 29],"[[ 10.    0.3]
 [ 10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
3084,2.17,1.3678576946258545,[-11.67408996   2.86038552 140.        ],"(-6, 1, 14)",[11 22 23 26],"[[ 10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
3504,1.94,1.2618896961212158,[-10.85813723   3.61082201 138.5       ],"(-6, 1, 13)",[13 21 29 24],"[[ 10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
3917,2.04,1.1877825260162354,[-11.5398646    2.99498109 138.5       ],"(-6, 1, 13)",[19 11 15 16],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.7]]"
4348,2.02,1.2574045658111572,[-10.39445115   4.25156912 143.5       ],"(-6, 2, 14)",[22 13 29 24],"[[-10.    0.3]
 [ 10.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
4763,2.07,1.27384352684021,[-10.13900407   4.45545822 136.5       ],"(-6, 2, 13)",[33 11 19  0],"[[ 0.   0.3]
 [10.   0.3]
 [10.   0.7]
 [ 0.   0.3]]"
5177,1.97,1.2986400127410889,[-10.40461373   4.06820116 135.        ],"(-6, 2, 13)",[24 32 29  1],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
5603,1.99,1.2662296295166016,[-11.00706113   3.87961819 142.5       ],"(-6, 1, 14)",[33 30 23 26],"[[  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
