update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
930,3.32,1.1450717449188232,[-17.4363338   -1.94581844 139.        ],"(-9, -1, 13)",[20  7 12  0],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
1349,1.15,1.1383740901947021,[-12.13376078   6.01609274 135.        ],"(-7, 3, 13)",[17 22 16  3],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [-10.    0.3]]"
1766,1.26,1.2389013767242432,[-12.47161132   5.53299598 138.        ],"(-7, 2, 13)",[ 7 20 12 26],"[[-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
2197,1.2,1.1851253509521484,[-12.58652991   5.41087    144.        ],"(-7, 2, 14)",[17 22 23  8],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [-10.    0.7]]"
2610,1.2,1.1824777126312256,[-10.49310188   6.79498925 138.5       ],"(-6, 3, 13)",[20  7  2 26],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [  0.    0.3]]"
3035,1.29,1.2732222080230713,[-11.04440513   6.63954374 140.5       ],"(-6, 3, 14)",[22 17  3 21],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]]"
3452,1.2,1.1855213642120361,[-10.43966804   6.55641168 139.        ],"(-6, 3, 13)",[ 2 20  7 26],"[[  0.    0.3]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
3868,1.34,1.3251495361328125,[-10.82091689   6.75235129 138.5       ],"(-6, 3, 13)",[22 17  1 21],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
4300,1.24,1.2287416458129883,[-10.76337434   6.51977631 145.5       ],"(-6, 3, 14)",[20  7 22 13],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
4719,1.23,1.2155203819274902,[-10.38531796   6.92037447 142.        ],"(-6, 3, 14)",[22 17  3 14],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
5127,1.17,1.1561152935028076,[-10.26338333   7.14488332 137.5       ],"(-6, 3, 13)",[20 13 22  7],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
5551,1.25,1.229689359664917,[-10.63895336   6.8935188  141.        ],"(-6, 3, 14)",[17 22  1 14],"[[ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.3]]"
5963,1.27,1.2550792694091797,[ -9.97229513   7.69876166 134.        ],"(-5, 3, 13)",[20  0  7 22],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [-10.    0.3]]"
6379,1.29,1.2711117267608643,[ -9.98692626   7.36169163 134.5       ],"(-5, 3, 13)",[17 22 14  1],"[[ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.3]]"
6788,1.33,1.315204381942749,[-10.70664106   6.05895666 141.5       ],"(-6, 3, 14)",[20  0 13 22],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
