update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
957,2.96,1.0331015586853027,[-17.4363338   -1.94581844 106.5       ],"(-9, -1, 10)",[20  7 12  0],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
1283,1.05,1.0332272052764893,[ -9.3329327    7.71310919 108.        ],"(-5, 3, 10)",[17 22  3 16],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
1620,1.08,1.0642735958099365,[-11.36326555   5.09698591 112.        ],"(-6, 2, 11)",[ 7 20 12  0],"[[-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
1954,1.09,1.0752668380737305,[-10.94055398   6.30696564 110.5       ],"(-6, 3, 11)",[17 22  6 23],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [-10.    0.7]]"
2273,1.03,1.0158517360687256,[ -9.98807739   6.70455574 106.        ],"(-5, 3, 10)",[20  7  5 12],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [ 10.    0.3]]"
2608,1.03,1.0182814598083496,[-10.68954993   6.73545658 110.5       ],"(-6, 3, 11)",[17 18 22  6],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
2937,1.1,1.0833158493041992,[ -8.95270921   8.1474711  111.        ],"(-5, 4, 11)",[20  7  5 21],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
3263,1.06,1.0434329509735107,[ -9.40828852   8.34408273 109.5       ],"(-5, 4, 10)",[17 18  8 16],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
3597,1.17,1.1525559425354004,[ -9.38247274   7.94581023 111.        ],"(-5, 3, 11)",[20  5 12  0],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
3929,1.09,1.078136920928955,[-10.6584662    5.81956214 110.        ],"(-6, 2, 11)",[17 22  3  8],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
4266,1.1,1.0872583389282227,[-10.33415688   6.20434213 111.5       ],"(-6, 3, 11)",[20 12  0  5],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.7]]"
