update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
993,0.75,0.6496431827545166,None,"('N', 'o', 'n', 'e')",None
1414,0.58,0.5399138927459717,None,"('N', 'o', 'n', 'e')",None
1830,0.56,0.5174393653869629,None,"('N', 'o', 'n', 'e')",None
2247,0.53,0.5185513496398926,None,"('N', 'o', 'n', 'e')",None
2663,0.59,0.5155766010284424,None,"('N', 'o', 'n', 'e')",None
3087,0.59,0.5355706214904785,None,"('N', 'o', 'n', 'e')",None
3507,0.54,0.5039403438568115,None,"('N', 'o', 'n', 'e')",None
3930,0.56,0.5058891773223877,None,"('N', 'o', 'n', 'e')",None
4345,0.53,0.5147345066070557,None,"('N', 'o', 'n', 'e')",None
4756,0.55,0.511742115020752,None,"('N', 'o', 'n', 'e')",None
5190,0.62,0.5278944969177246,None,"('N', 'o', 'n', 'e')",None
5612,0.53,0.5095899105072021,None,"('N', 'o', 'n', 'e')",None
6032,0.59,0.5220580101013184,None,"('N', 'o', 'n', 'e')",None
6453,0.57,0.5567314624786377,None,"('N', 'o', 'n', 'e')",None
6867,0.58,0.4951906204223633,None,"('N', 'o', 'n', 'e')",None
7276,0.59,0.512523889541626,None,"('N', 'o', 'n', 'e')",None
7699,0.54,0.5120534896850586,None,"('N', 'o', 'n', 'e')",None
8117,0.58,0.5032835006713867,None,"('N', 'o', 'n', 'e')",None
8559,0.56,0.5229837894439697,None,"('N', 'o', 'n', 'e')",None
8961,0.53,0.4932384490966797,None,"('N', 'o', 'n', 'e')",None
9383,0.55,0.5161864757537842,None,"('N', 'o', 'n', 'e')",None
9814,0.53,0.5158822536468506,None,"('N', 'o', 'n', 'e')",None
10227,0.51,0.4958517551422119,None,"('N', 'o', 'n', 'e')",None
10630,0.54,0.5012195110321045,None,"('N', 'o', 'n', 'e')",None
11062,0.64,0.5222923755645752,None,"('N', 'o', 'n', 'e')",None
11490,0.52,0.5026886463165283,None,"('N', 'o', 'n', 'e')",None
11901,0.49,0.474592924118042,None,"('N', 'o', 'n', 'e')",None
12330,0.53,0.5141294002532959,None,"('N', 'o', 'n', 'e')",None
12748,0.57,0.5015742778778076,None,"('N', 'o', 'n', 'e')",None
13168,0.53,0.5123887062072754,None,"('N', 'o', 'n', 'e')",None
13584,0.53,0.5114624500274658,None,"('N', 'o', 'n', 'e')",None
14009,0.57,0.5010087490081787,None,"('N', 'o', 'n', 'e')",None
14429,0.54,0.5115885734558105,None,"('N', 'o', 'n', 'e')",None
14842,0.54,0.48996853828430176,None,"('N', 'o', 'n', 'e')",None
15271,0.54,0.5154154300689697,None,"('N', 'o', 'n', 'e')",None
15689,0.55,0.4983642101287842,None,"('N', 'o', 'n', 'e')",None
16114,0.52,0.5012843608856201,None,"('N', 'o', 'n', 'e')",None
16539,0.53,0.49749016761779785,None,"('N', 'o', 'n', 'e')",None
16960,0.52,0.5048654079437256,None,"('N', 'o', 'n', 'e')",None
17368,0.53,0.5176019668579102,None,"('N', 'o', 'n', 'e')",None
17790,0.57,0.5176336765289307,None,"('N', 'o', 'n', 'e')",None
18214,0.53,0.5127725601196289,None,"('N', 'o', 'n', 'e')",None
18630,0.52,0.5009231567382812,None,"('N', 'o', 'n', 'e')",None
19053,0.5,0.4744987487792969,None,"('N', 'o', 'n', 'e')",None
19476,0.59,0.4958634376525879,None,"('N', 'o', 'n', 'e')",None
19891,0.52,0.49892210960388184,None,"('N', 'o', 'n', 'e')",None
20309,0.54,0.5217669010162354,None,"('N', 'o', 'n', 'e')",None
20738,0.54,0.5097622871398926,None,"('N', 'o', 'n', 'e')",None
21152,0.55,0.5364580154418945,None,"('N', 'o', 'n', 'e')",None
21581,0.51,0.49498820304870605,None,"('N', 'o', 'n', 'e')",None
21985,0.53,0.48815369606018066,None,"('N', 'o', 'n', 'e')",None
22405,0.53,0.518132209777832,None,"('N', 'o', 'n', 'e')",None
22818,0.5,0.48529720306396484,None,"('N', 'o', 'n', 'e')",None
23255,0.55,0.5150642395019531,None,"('N', 'o', 'n', 'e')",None
23664,0.51,0.4963200092315674,None,"('N', 'o', 'n', 'e')",None
24094,0.54,0.5262308120727539,None,"('N', 'o', 'n', 'e')",None
24512,0.51,0.49529266357421875,None,"('N', 'o', 'n', 'e')",None
24928,0.52,0.4993441104888916,None,"('N', 'o', 'n', 'e')",None
25354,0.53,0.5079400539398193,None,"('N', 'o', 'n', 'e')",None
25778,0.52,0.5036468505859375,None,"('N', 'o', 'n', 'e')",None
26199,0.55,0.4741826057434082,None,"('N', 'o', 'n', 'e')",None
26608,0.5,0.4848134517669678,None,"('N', 'o', 'n', 'e')",None
27030,0.54,0.5256285667419434,None,"('N', 'o', 'n', 'e')",None
27463,0.56,0.5470755100250244,None,"('N', 'o', 'n', 'e')",None
27871,0.53,0.5169143676757812,None,"('N', 'o', 'n', 'e')",None
28295,0.52,0.5047526359558105,None,"('N', 'o', 'n', 'e')",None
28709,0.51,0.49739861488342285,None,"('N', 'o', 'n', 'e')",None
29130,0.52,0.5078976154327393,None,"('N', 'o', 'n', 'e')",None
29563,0.55,0.5358831882476807,None,"('N', 'o', 'n', 'e')",None
29978,0.51,0.4984610080718994,None,"('N', 'o', 'n', 'e')",None
30392,0.54,0.5035674571990967,None,"('N', 'o', 'n', 'e')",None
30804,0.51,0.4988834857940674,None,"('N', 'o', 'n', 'e')",None
