update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
955,1.71,0.5538036823272705,None,"('N', 'o', 'n', 'e')",None
1279,0.51,0.49499058723449707,None,"('N', 'o', 'n', 'e')",None
1624,0.57,0.5523543357849121,None,"('N', 'o', 'n', 'e')",None
1943,0.52,0.5029029846191406,None,"('N', 'o', 'n', 'e')",None
2274,0.55,0.5361251831054688,None,"('N', 'o', 'n', 'e')",None
2613,0.62,0.6065142154693604,None,"('N', 'o', 'n', 'e')",None
2957,0.54,0.519251823425293,None,"('N', 'o', 'n', 'e')",None
3280,0.51,0.4893777370452881,None,"('N', 'o', 'n', 'e')",None
3609,0.52,0.506760835647583,None,"('N', 'o', 'n', 'e')",None
3936,0.51,0.49704980850219727,None,"('N', 'o', 'n', 'e')",None
