update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
967,1.6,0.5506031513214111,None,"('N', 'o', 'n', 'e')",None
1295,0.5,0.48772716522216797,None,"('N', 'o', 'n', 'e')",None
1622,0.53,0.5178303718566895,None,"('N', 'o', 'n', 'e')",None
1959,0.52,0.5027544498443604,None,"('N', 'o', 'n', 'e')",None
2299,0.53,0.5092792510986328,None,"('N', 'o', 'n', 'e')",None
2619,0.54,0.5242667198181152,None,"('N', 'o', 'n', 'e')",None
2934,0.53,0.5145347118377686,None,"('N', 'o', 'n', 'e')",None
3275,0.54,0.5263128280639648,None,"('N', 'o', 'n', 'e')",None
3607,0.52,0.5050766468048096,None,"('N', 'o', 'n', 'e')",None
3937,0.59,0.5763404369354248,None,"('N', 'o', 'n', 'e')",None
