update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
900,1.69,0.6613028049468994,None,"('N', 'o', 'n', 'e')",None
1231,0.51,0.4945182800292969,None,"('N', 'o', 'n', 'e')",None
1567,0.53,0.5144221782684326,None,"('N', 'o', 'n', 'e')",None
1888,0.51,0.4972836971282959,None,"('N', 'o', 'n', 'e')",None
2209,0.54,0.5270683765411377,None,"('N', 'o', 'n', 'e')",None
2528,0.53,0.5117239952087402,None,"('N', 'o', 'n', 'e')",None
2856,0.56,0.5481421947479248,None,"('N', 'o', 'n', 'e')",None
3188,0.54,0.5234897136688232,None,"('N', 'o', 'n', 'e')",None
3530,0.53,0.517772912979126,None,"('N', 'o', 'n', 'e')",None
3870,0.54,0.522599458694458,None,"('N', 'o', 'n', 'e')",None
