update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
935,2.05,0.5416717529296875,None,"('N', 'o', 'n', 'e')",None,None
1362,0.55,0.535203218460083,None,"('N', 'o', 'n', 'e')",None,None
1773,0.53,0.5193300247192383,None,"('N', 'o', 'n', 'e')",None,None
2188,0.6,0.5862352848052979,None,"('N', 'o', 'n', 'e')",None,None
2611,0.56,0.543283224105835,None,"('N', 'o', 'n', 'e')",None,None
3031,0.56,0.546513557434082,None,"('N', 'o', 'n', 'e')",None,None
3444,0.72,0.704472541809082,None,"('N', 'o', 'n', 'e')",None,None
3877,0.55,0.5322649478912354,None,"('N', 'o', 'n', 'e')",None,None
4291,0.55,0.5377058982849121,None,"('N', 'o', 'n', 'e')",None,None
4713,0.55,0.5324835777282715,None,"('N', 'o', 'n', 'e')",None,None
5130,0.56,0.5470917224884033,None,"('N', 'o', 'n', 'e')",None,None
5552,0.56,0.5402934551239014,None,"('N', 'o', 'n', 'e')",None,None
5975,0.55,0.532008171081543,None,"('N', 'o', 'n', 'e')",None,None
6400,0.6,0.5841693878173828,None,"('N', 'o', 'n', 'e')",None,None
6808,0.55,0.5304627418518066,None,"('N', 'o', 'n', 'e')",None,None
7238,0.58,0.566319465637207,None,"('N', 'o', 'n', 'e')",None,None
7652,0.55,0.5378310680389404,None,"('N', 'o', 'n', 'e')",None,None
8072,0.57,0.549875020980835,None,"('N', 'o', 'n', 'e')",None,None
8500,0.55,0.5362451076507568,None,"('N', 'o', 'n', 'e')",None,None
8912,0.55,0.534034252166748,None,"('N', 'o', 'n', 'e')",None,None
9330,0.56,0.5426914691925049,None,"('N', 'o', 'n', 'e')",None,None
9761,0.55,0.533167839050293,None,"('N', 'o', 'n', 'e')",None,None
10192,0.56,0.5462982654571533,None,"('N', 'o', 'n', 'e')",None,None
10606,0.54,0.5247037410736084,None,"('N', 'o', 'n', 'e')",None,None
11020,0.58,0.5628252029418945,None,"('N', 'o', 'n', 'e')",None,None
11450,0.56,0.5390803813934326,None,"('N', 'o', 'n', 'e')",None,None
11865,0.57,0.5525908470153809,None,"('N', 'o', 'n', 'e')",None,None
12286,0.57,0.5536313056945801,None,"('N', 'o', 'n', 'e')",None,None
12702,0.58,0.5652422904968262,None,"('N', 'o', 'n', 'e')",None,None
13131,0.55,0.5357048511505127,None,"('N', 'o', 'n', 'e')",None,None
13544,0.57,0.5551779270172119,None,"('N', 'o', 'n', 'e')",None,None
13956,0.56,0.5395188331604004,None,"('N', 'o', 'n', 'e')",None,None
14373,0.54,0.5236916542053223,None,"('N', 'o', 'n', 'e')",None,None
14790,0.55,0.53155517578125,None,"('N', 'o', 'n', 'e')",None,None
15206,0.54,0.5248970985412598,None,"('N', 'o', 'n', 'e')",None,None
15629,0.54,0.5256640911102295,None,"('N', 'o', 'n', 'e')",None,None
16056,0.57,0.5542802810668945,None,"('N', 'o', 'n', 'e')",None,None
16484,0.55,0.5356676578521729,None,"('N', 'o', 'n', 'e')",None,None
16901,0.55,0.5312497615814209,None,"('N', 'o', 'n', 'e')",None,None
17321,0.55,0.5388898849487305,None,"('N', 'o', 'n', 'e')",None,None
17735,0.55,0.5304543972015381,None,"('N', 'o', 'n', 'e')",None,None
18146,0.53,0.5166933536529541,None,"('N', 'o', 'n', 'e')",None,None
18575,0.54,0.5203061103820801,None,"('N', 'o', 'n', 'e')",None,None
19006,0.55,0.5370950698852539,None,"('N', 'o', 'n', 'e')",None,None
19412,0.52,0.5071079730987549,None,"('N', 'o', 'n', 'e')",None,None
19831,0.54,0.5290141105651855,None,"('N', 'o', 'n', 'e')",None,None
20252,0.55,0.5382094383239746,None,"('N', 'o', 'n', 'e')",None,None
20678,0.56,0.5453753471374512,None,"('N', 'o', 'n', 'e')",None,None
21101,0.55,0.5377261638641357,None,"('N', 'o', 'n', 'e')",None,None
21525,0.56,0.541081428527832,None,"('N', 'o', 'n', 'e')",None,None
21940,0.56,0.5423107147216797,None,"('N', 'o', 'n', 'e')",None,None
22348,0.53,0.5172381401062012,None,"('N', 'o', 'n', 'e')",None,None
22765,0.54,0.5222642421722412,None,"('N', 'o', 'n', 'e')",None,None
23193,0.56,0.5444843769073486,None,"('N', 'o', 'n', 'e')",None,None
23627,0.6,0.5849781036376953,None,"('N', 'o', 'n', 'e')",None,None
24043,0.54,0.526648759841919,None,"('N', 'o', 'n', 'e')",None,None
24474,0.56,0.5456771850585938,None,"('N', 'o', 'n', 'e')",None,None
24903,0.55,0.5359973907470703,None,"('N', 'o', 'n', 'e')",None,None
25310,0.54,0.5249428749084473,None,"('N', 'o', 'n', 'e')",None,None
25715,0.54,0.526200532913208,None,"('N', 'o', 'n', 'e')",None,None
26132,0.54,0.5270769596099854,None,"('N', 'o', 'n', 'e')",None,None
26545,0.54,0.5254983901977539,None,"('N', 'o', 'n', 'e')",None,None
26972,0.56,0.5428400039672852,None,"('N', 'o', 'n', 'e')",None,None
27399,0.53,0.5164189338684082,None,"('N', 'o', 'n', 'e')",None,None
27822,0.57,0.5539913177490234,None,"('N', 'o', 'n', 'e')",None,None
28248,0.57,0.549022912979126,None,"('N', 'o', 'n', 'e')",None,None
28677,0.57,0.5541706085205078,None,"('N', 'o', 'n', 'e')",None,None
29098,0.55,0.5352699756622314,None,"('N', 'o', 'n', 'e')",None,None
29515,0.54,0.5278692245483398,None,"('N', 'o', 'n', 'e')",None,None
29926,0.55,0.5365200042724609,None,"('N', 'o', 'n', 'e')",None,None
30353,0.55,0.5377490520477295,None,"('N', 'o', 'n', 'e')",None,None
30750,0.52,0.5072951316833496,None,"('N', 'o', 'n', 'e')",None,None
