update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
956,1.68,0.5231740474700928,None,"('N', 'o', 'n', 'e')",None,None
1293,0.52,0.5072379112243652,None,"('N', 'o', 'n', 'e')",None,None
1611,0.52,0.5016591548919678,None,"('N', 'o', 'n', 'e')",None,None
1950,0.54,0.5283420085906982,None,"('N', 'o', 'n', 'e')",None,None
2290,0.53,0.5155079364776611,None,"('N', 'o', 'n', 'e')",None,None
2602,0.5,0.48404502868652344,None,"('N', 'o', 'n', 'e')",None,None
2932,0.55,0.5308840274810791,None,"('N', 'o', 'n', 'e')",None,None
3262,0.56,0.5472362041473389,None,"('N', 'o', 'n', 'e')",None,None
3609,0.54,0.5254769325256348,None,"('N', 'o', 'n', 'e')",None,None
3934,0.57,0.5570776462554932,None,"('N', 'o', 'n', 'e')",None,None
