update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
959,1.66,0.48827314376831055,None,"('N', 'o', 'n', 'e')",None,None
1277,0.52,0.5022246837615967,None,"('N', 'o', 'n', 'e')",None,None
1609,0.54,0.5269780158996582,None,"('N', 'o', 'n', 'e')",None,None
1938,0.53,0.515967607498169,None,"('N', 'o', 'n', 'e')",None,None
2263,0.5,0.4801802635192871,None,"('N', 'o', 'n', 'e')",None,None
2597,0.53,0.5136651992797852,None,"('N', 'o', 'n', 'e')",None,None
2930,0.53,0.5120849609375,None,"('N', 'o', 'n', 'e')",None,None
3264,0.52,0.49917030334472656,None,"('N', 'o', 'n', 'e')",None,None
3592,0.52,0.4987173080444336,None,"('N', 'o', 'n', 'e')",None,None
3926,0.53,0.5125455856323242,None,"('N', 'o', 'n', 'e')",None,None
