update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
979,0.93,0.6908998489379883,None,"('N', 'o', 'n', 'e')",None,None
1302,0.64,0.5189683437347412,None,"('N', 'o', 'n', 'e')",None,None
1641,0.64,0.5213675498962402,None,"('N', 'o', 'n', 'e')",None,None
1988,0.56,0.5327167510986328,None,"('N', 'o', 'n', 'e')",None,None
2324,0.61,0.5249354839324951,None,"('N', 'o', 'n', 'e')",None,None
2657,0.63,0.4999351501464844,None,"('N', 'o', 'n', 'e')",None,None
2986,0.58,0.48015904426574707,None,"('N', 'o', 'n', 'e')",None,None
3313,0.59,0.47339677810668945,None,"('N', 'o', 'n', 'e')",None,None
3643,0.61,0.4787025451660156,None,"('N', 'o', 'n', 'e')",None,None
3955,0.58,0.474212646484375,None,"('N', 'o', 'n', 'e')",None,None
