update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
955,3.01,1.1185195446014404,[-17.4363338   -1.94581844 138.5       ],"(-9, -1, 13)",[15 11 18 27],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
1364,1.12,1.102417230606079,[-10.69916938   5.86011953 138.        ],"(-6, 2, 13)",[ 6  7 16  5],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]]"
1794,1.24,1.2258284091949463,[-11.04211807   6.30704353 143.        ],"(-6, 3, 14)",[15 11 27 29],"[[-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [-10.    0.7]]"
2215,1.25,1.2363426685333252,[-12.50667459   4.73356027 141.5       ],"(-7, 2, 14)",[ 6  7 12  5],"[[ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.7]]"
2639,1.17,1.1536238193511963,[-11.24213854   5.74274233 141.5       ],"(-6, 2, 14)",[15 27 29 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
3054,1.2,1.183459758758545,[-10.74343262   6.00978967 136.5       ],"(-6, 3, 13)",[6 7 5 8],"[[0.  0.7]
 [0.  0.7]
 [0.  0.7]
 [0.  0.7]]"
3461,1.3,1.2847139835357666,[-11.81971884   5.07864539 135.        ],"(-6, 2, 13)",[15 25 27 11],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
3882,1.22,1.206028699874878,[-11.85131507   4.17624946 145.5       ],"(-6, 2, 14)",[ 6  7 26  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
4306,1.23,1.2147448062896729,[-11.74449652   4.69975748 137.        ],"(-6, 2, 13)",[15 29 27 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
4743,1.24,1.2257635593414307,[-10.8842077    5.63774883 141.        ],"(-6, 2, 14)",[ 6  7 28 26],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
5154,1.22,1.206326961517334,[-11.85890385   4.86443572 136.        ],"(-6, 2, 13)",[15 29 27 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
5571,1.26,1.2395744323730469,[-11.16725739   5.3324189  138.5       ],"(-6, 2, 13)",[ 6  7 26 13],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
5996,1.27,1.2555315494537354,[-11.84485486   5.36319232 143.        ],"(-6, 2, 14)",[15 29 27 11],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
6430,1.26,1.239105224609375,[-11.23085719   5.41645218 145.5       ],"(-6, 2, 14)",[ 6  7 28  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
6833,1.22,1.200577735900879,[-11.44633021   6.00362613 133.        ],"(-6, 3, 13)",[15 29  4 18],"[[-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
7249,1.26,1.2458226680755615,[-10.28833784   6.76281445 138.5       ],"(-6, 3, 13)",[ 6 26 12  7],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [  0.    0.7]]"
7669,1.31,1.2960643768310547,[-11.12212025   5.79879147 140.        ],"(-6, 2, 14)",[15 29 27  2],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
8095,1.23,1.21083402633667,[-10.94744694   5.95742035 141.        ],"(-6, 2, 14)",[ 6  7  5 26],"[[  0.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
8507,1.29,1.2725026607513428,[-11.17830762   6.07750449 138.        ],"(-6, 3, 13)",[15 29 27 18],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
8925,1.26,1.247854232788086,[-11.94515311   4.99867457 141.        ],"(-6, 2, 14)",[ 6  7 26 12],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
9356,1.27,1.2529139518737793,[-11.93841149   4.71713493 144.        ],"(-6, 2, 14)",[15 29 27 11],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
9778,1.21,1.193451166152954,[-11.21395432   4.90123879 138.        ],"(-6, 2, 13)",[ 6  7  5 28],"[[  0.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
10194,1.2,1.1841158866882324,[-11.08992389   5.796754   138.5       ],"(-6, 2, 13)",[15 29  4 18],"[[-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
10611,1.32,1.3002963066101074,[-10.78910238   6.85215915 138.        ],"(-6, 3, 13)",[12  6  1 26],"[[ 10.    0.3]
 [  0.    0.7]
 [  0.    0.3]
 [-10.    0.7]]"
11034,1.21,1.1964507102966309,[-10.70459954   7.45072206 142.        ],"(-6, 3, 14)",[15 29 27 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
11439,1.2,1.1842775344848633,[-10.57697144   6.83001332 133.5       ],"(-6, 3, 13)",[ 6  7 26  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
11842,1.26,1.2464921474456787,[ -9.98525922   7.41328188 133.        ],"(-5, 3, 13)",[15 27 29 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
12272,1.28,1.2682690620422363,[-12.08987257   5.74875503 142.        ],"(-7, 2, 14)",[ 6  7 26 28],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
12707,1.25,1.2345643043518066,[-11.67021038   6.42910404 147.        ],"(-6, 3, 14)",[15 25 29 27],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
13141,1.3,1.2784535884857178,[-11.02444313   6.4618698  146.        ],"(-6, 3, 14)",[ 6 26  7 28],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
13566,1.3,1.2843453884124756,[-11.22972077   6.93660175 144.5       ],"(-6, 3, 14)",[15 29 11 27],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
13992,1.25,1.2348918914794922,[-10.59076813   6.42752467 139.5       ],"(-6, 3, 13)",[ 6 26 28  7],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
14395,1.2,1.1846449375152588,[-11.14381981   7.07618981 136.5       ],"(-6, 3, 13)",[15 29 27  4],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
14814,1.31,1.291191816329956,[-11.63384707   5.45811979 142.        ],"(-6, 2, 14)",[17  6  7 12],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
15239,1.32,1.3026673793792725,[-12.66699503   5.27682136 143.5       ],"(-7, 2, 14)",[15 29 11 27],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
15658,1.27,1.253889560699463,[-12.05228174   5.70184189 142.5       ],"(-7, 2, 14)",[ 6 26 28  8],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
16055,1.29,1.2731621265411377,[-11.95915      5.26045012 135.5       ],"(-6, 2, 13)",[15 29 27 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
16487,1.34,1.3244123458862305,[-11.71940919   5.60615269 143.5       ],"(-6, 2, 14)",[ 6 26 17 16],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
16907,1.33,1.3167316913604736,[-12.89717632   5.2023083  141.        ],"(-7, 2, 14)",[15 29 27 11],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
17337,1.25,1.229811191558838,[-12.07273733   5.25870257 141.5       ],"(-7, 2, 14)",[ 6 26  5  7],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
17756,1.24,1.2210028171539307,[-11.84591581   5.27465174 136.5       ],"(-6, 2, 13)",[15 29 27  4],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
18184,1.22,1.2043087482452393,[-12.10752212   4.74761161 140.5       ],"(-7, 2, 14)",[ 6 26 28  5],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
18591,1.29,1.274205207824707,[-11.37791893   6.4246294  137.5       ],"(-6, 3, 13)",[15 27 11 29],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
19009,1.25,1.236863136291504,[-11.51440228   5.98074383 137.5       ],"(-6, 2, 13)",[ 6 28  7 26],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
19432,1.24,1.2267143726348877,[-11.48486954   5.8324552  138.5       ],"(-6, 2, 13)",[15 29 27 18],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
19852,1.27,1.25754714012146,[-10.08941484   7.27989984 139.5       ],"(-6, 3, 13)",[ 6 26 28 16],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
20268,1.26,1.245105504989624,[-11.81073755   6.52360644 136.5       ],"(-6, 3, 13)",[15 29 27  4],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
20693,1.25,1.2377324104309082,[-11.16854752   6.59088537 144.        ],"(-6, 3, 14)",[ 6 26  5 28],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
21110,1.25,1.2339465618133545,[-11.21838151   6.56237313 137.5       ],"(-6, 3, 13)",[15 29 18 27],"[[-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
21532,1.37,1.354933500289917,[-10.85246364   6.57968205 141.        ],"(-6, 3, 14)",[ 6 26 17 12],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]]"
21955,1.28,1.2642900943756104,[-11.85694836   6.1622162  140.5       ],"(-6, 3, 14)",[15 29 27 11],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
22372,1.25,1.2375514507293701,[-11.11312859   7.42577572 140.5       ],"(-6, 3, 14)",[ 6  7 26 28],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
22802,1.27,1.2586398124694824,[-10.91723252   7.09044841 143.5       ],"(-6, 3, 14)",[15 29 27 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
23212,1.22,1.207446813583374,[-11.25515365   6.06720993 134.5       ],"(-6, 3, 13)",[ 6  7 26  5],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
23633,1.25,1.2354395389556885,[-10.3500419    8.30751674 142.        ],"(-6, 4, 14)",[15 29 27  4],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
24048,1.27,1.2485604286193848,[-10.65028119   6.99298347 138.        ],"(-6, 3, 13)",[ 6 16 26  7],"[[  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
24475,1.21,1.197826862335205,[-11.38259544   6.91811175 142.5       ],"(-6, 3, 14)",[18  4 27 15],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
24896,1.29,1.2780771255493164,[-11.20001575   6.01117013 140.5       ],"(-6, 3, 14)",[ 6 12  7  8],"[[ 0.   0.7]
 [10.   0.3]
 [ 0.   0.7]
 [ 0.   0.7]]"
25314,1.25,1.2339866161346436,[-10.36594549   8.09928945 140.        ],"(-6, 4, 14)",[29 15  4 18],"[[-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
25743,1.34,1.3255069255828857,[-10.10651446   8.12819423 139.        ],"(-6, 4, 13)",[ 6 26 12  7],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [  0.    0.7]]"
26158,1.31,1.2969300746917725,[ -9.94857635   8.36344981 137.5       ],"(-5, 4, 13)",[32 15 29 18],"[[  0.    0.3]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
26580,1.32,1.2993195056915283,[-10.5629614    6.98831212 141.5       ],"(-6, 3, 14)",[ 6  7 26 28],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
26983,1.33,1.3134872913360596,[ -9.69904651   7.83301594 135.        ],"(-5, 3, 13)",[ 4 18 29 32],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
27419,1.34,1.3252460956573486,[-10.52735445   6.64373984 147.        ],"(-6, 3, 14)",[ 6  7 12 28],"[[  0.    0.7]
 [  0.    0.7]
 [ 10.    0.3]
 [-10.    0.7]]"
27838,1.36,1.347240924835205,[-12.10135661   5.56813109 138.5       ],"(-7, 2, 13)",[15 32 29 25],"[[-10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [-10.    0.7]]"
28254,1.28,1.2644236087799072,[-10.90071017   6.43371285 137.        ],"(-6, 3, 13)",[ 6 28  7  5],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
28679,1.35,1.3357775211334229,[-11.54646238   6.44983951 143.        ],"(-6, 3, 14)",[29 11 27 15],"[[-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [-10.    0.7]]"
29093,1.28,1.2634267807006836,[-10.99025653   6.21597559 138.5       ],"(-6, 3, 13)",[28 26  5  6],"[[-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
29509,1.3,1.2815282344818115,[-11.89397354   6.07270154 137.        ],"(-6, 3, 13)",[15 29 27  4],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
29933,1.31,1.2944507598876953,[-10.91169514   7.04343919 140.        ],"(-6, 3, 14)",[ 6 28 26  5],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
30348,1.35,1.338719129562378,[-10.17487516   8.75821988 137.5       ],"(-6, 4, 13)",[15 27 11 25],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
