update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
1000,1.43,1.3994362354278564,[-17.4363338   -1.94581844 113.5       ],"(-9, -1, 11)",[11 14 17  7],"[[10.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.7]]"
1335,1.82,1.0860199928283691,[-12.43726638   1.80963979 111.        ],"(-7, 0, 11)",[ 3 24 16 26],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
1658,1.78,1.1274583339691162,[-12.57521178   0.87060545 108.        ],"(-7, 0, 10)",[11  7  1  5],"[[10.   0.3]
 [ 0.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]]"
1987,1.94,1.1596708297729492,[-11.93763041   1.17445227 108.        ],"(-6, 0, 10)",[ 3 24 16 26],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
2318,1.84,1.112837553024292,[-12.40901117   2.62944409 109.5       ],"(-7, 1, 10)",[11 14 17 15],"[[10.   0.3]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
2647,2.03,1.168816089630127,[-13.02975096  -1.36980548 109.5       ],"(-7, -1, 10)",[ 3 16 26 24],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
2983,2.0,1.1517906188964844,[-12.92199169  -0.14883881 111.5       ],"(-7, -1, 11)",[ 5 11  1 14],"[[ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [10.   0.7]]"
3316,1.72,1.0508604049682617,[-13.54492336  -1.00179722 113.        ],"(-7, -1, 11)",[ 3 16 26 29],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]]"
3645,1.79,1.1244566440582275,[-12.15144291   1.10389603 112.        ],"(-7, 0, 11)",[11 17 14  4],"[[10.   0.3]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.7]]"
3981,1.85,1.153512716293335,[-11.6425917    0.60316467 112.5       ],"(-6, 0, 11)",[ 3 29 24 26],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
4306,1.88,1.1395819187164307,[-11.92121289   0.71951648 110.5       ],"(-6, 0, 11)",[11 14  1  4],"[[10.   0.3]
 [10.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]]"
4635,1.74,1.0879478454589844,[-11.96401265   1.08809428 110.        ],"(-6, 0, 11)",[ 3 26 29 16],"[[-10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
4969,1.88,1.1863083839416504,[-12.71991425   2.0104655  111.5       ],"(-7, 1, 11)",[11 14 22 17],"[[ 10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
5298,1.84,1.1388568878173828,[-11.98206046   0.98525128 109.        ],"(-6, 0, 10)",[ 3 24 29 16],"[[-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
5628,2.0,1.227367877960205,[-11.61857826   2.56735654 110.        ],"(-6, 1, 11)",[11  1 14 17],"[[10.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
5963,1.92,1.2200100421905518,[-12.9732481   -1.74901719 109.5       ],"(-7, -1, 10)",[ 3 24 16 29],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.7]]"
6299,1.92,1.2015345096588135,[-12.82653674   0.40491703 113.        ],"(-7, 0, 11)",[11  1 14 17],"[[10.   0.3]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
6620,1.91,1.266287088394165,[-1.27679475e+01  2.48179831e-02  1.07000000e+02],"(-7, 0, 10)",[ 3 24 16 22],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
6948,1.85,1.16975998878479,[-12.81581883   0.85703092 107.5       ],"(-7, 0, 10)",[11  1  4 15],"[[10.   0.3]
 [ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]]"
