update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
979,0.89,0.24859118461608887,None,"('N', 'o', 'n', 'e')",None
1318,0.27,0.25657033920288086,None,"('N', 'o', 'n', 'e')",None
1652,0.26,0.24061203002929688,None,"('N', 'o', 'n', 'e')",None
1979,0.22,0.20847654342651367,None,"('N', 'o', 'n', 'e')",None
2312,0.26,0.24422311782836914,None,"('N', 'o', 'n', 'e')",None
2636,0.29,0.2769136428833008,None,"('N', 'o', 'n', 'e')",None
2963,0.25,0.23789310455322266,None,"('N', 'o', 'n', 'e')",None
3296,0.27,0.24984407424926758,None,"('N', 'o', 'n', 'e')",None
3627,0.24,0.22554802894592285,None,"('N', 'o', 'n', 'e')",None
3949,0.24,0.2271580696105957,None,"('N', 'o', 'n', 'e')",None
