update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
958,1.63,0.5336892604827881,None,"('N', 'o', 'n', 'e')",None
1373,0.55,0.530179500579834,None,"('N', 'o', 'n', 'e')",None
1803,0.56,0.5454158782958984,None,"('N', 'o', 'n', 'e')",None
2231,0.56,0.5455710887908936,None,"('N', 'o', 'n', 'e')",None
2641,0.53,0.5169811248779297,None,"('N', 'o', 'n', 'e')",None
3065,0.57,0.5581471920013428,None,"('N', 'o', 'n', 'e')",None
3485,0.54,0.527716875076294,None,"('N', 'o', 'n', 'e')",None
3911,0.54,0.5250210762023926,None,"('N', 'o', 'n', 'e')",None
4324,0.54,0.524658203125,None,"('N', 'o', 'n', 'e')",None
4745,0.54,0.5284597873687744,None,"('N', 'o', 'n', 'e')",None
5166,0.53,0.5157489776611328,None,"('N', 'o', 'n', 'e')",None
5591,0.55,0.5305726528167725,None,"('N', 'o', 'n', 'e')",None
6006,0.58,0.5671558380126953,None,"('N', 'o', 'n', 'e')",None
6430,0.54,0.52532958984375,None,"('N', 'o', 'n', 'e')",None
6841,0.53,0.511289119720459,None,"('N', 'o', 'n', 'e')",None
7269,0.55,0.5303196907043457,None,"('N', 'o', 'n', 'e')",None
7695,0.53,0.5137608051300049,None,"('N', 'o', 'n', 'e')",None
8103,0.53,0.5173854827880859,None,"('N', 'o', 'n', 'e')",None
8526,0.56,0.5453500747680664,None,"('N', 'o', 'n', 'e')",None
8945,0.56,0.5389504432678223,None,"('N', 'o', 'n', 'e')",None
9368,0.58,0.567936897277832,None,"('N', 'o', 'n', 'e')",None
9785,0.52,0.5070760250091553,None,"('N', 'o', 'n', 'e')",None
10212,0.54,0.525475263595581,None,"('N', 'o', 'n', 'e')",None
10622,0.53,0.5179171562194824,None,"('N', 'o', 'n', 'e')",None
11051,0.58,0.5677976608276367,None,"('N', 'o', 'n', 'e')",None
11472,0.53,0.5179123878479004,None,"('N', 'o', 'n', 'e')",None
11889,0.53,0.5141360759735107,None,"('N', 'o', 'n', 'e')",None
12295,0.55,0.5372910499572754,None,"('N', 'o', 'n', 'e')",None
12730,0.55,0.5351505279541016,None,"('N', 'o', 'n', 'e')",None
13158,0.57,0.548370361328125,None,"('N', 'o', 'n', 'e')",None
13566,0.55,0.5385487079620361,None,"('N', 'o', 'n', 'e')",None
13991,0.53,0.5125010013580322,None,"('N', 'o', 'n', 'e')",None
14408,0.55,0.5308136940002441,None,"('N', 'o', 'n', 'e')",None
14832,0.54,0.5234344005584717,None,"('N', 'o', 'n', 'e')",None
15253,0.53,0.5170083045959473,None,"('N', 'o', 'n', 'e')",None
15668,0.51,0.49585700035095215,None,"('N', 'o', 'n', 'e')",None
16091,0.57,0.5496876239776611,None,"('N', 'o', 'n', 'e')",None
16510,0.55,0.5327498912811279,None,"('N', 'o', 'n', 'e')",None
16928,0.53,0.512000322341919,None,"('N', 'o', 'n', 'e')",None
17354,0.54,0.5238256454467773,None,"('N', 'o', 'n', 'e')",None
17776,0.53,0.5169150829315186,None,"('N', 'o', 'n', 'e')",None
18182,0.61,0.5968458652496338,None,"('N', 'o', 'n', 'e')",None
18603,0.57,0.5540297031402588,None,"('N', 'o', 'n', 'e')",None
19031,0.54,0.5279819965362549,None,"('N', 'o', 'n', 'e')",None
19448,0.57,0.5527348518371582,None,"('N', 'o', 'n', 'e')",None
19866,0.58,0.559523344039917,None,"('N', 'o', 'n', 'e')",None
20279,0.51,0.4902510643005371,None,"('N', 'o', 'n', 'e')",None
20707,0.53,0.5162785053253174,None,"('N', 'o', 'n', 'e')",None
21123,0.52,0.5079233646392822,None,"('N', 'o', 'n', 'e')",None
21549,0.54,0.5260963439941406,None,"('N', 'o', 'n', 'e')",None
21959,0.54,0.5245888233184814,None,"('N', 'o', 'n', 'e')",None
22389,0.54,0.5237157344818115,None,"('N', 'o', 'n', 'e')",None
22815,0.54,0.5195004940032959,None,"('N', 'o', 'n', 'e')",None
23224,0.54,0.5286197662353516,None,"('N', 'o', 'n', 'e')",None
23649,0.55,0.5339717864990234,None,"('N', 'o', 'n', 'e')",None
24063,0.54,0.527961015701294,None,"('N', 'o', 'n', 'e')",None
24485,0.57,0.5563411712646484,None,"('N', 'o', 'n', 'e')",None
24906,0.57,0.554236888885498,None,"('N', 'o', 'n', 'e')",None
25323,0.53,0.5094828605651855,None,"('N', 'o', 'n', 'e')",None
25745,0.53,0.5129656791687012,None,"('N', 'o', 'n', 'e')",None
26181,0.58,0.5642218589782715,None,"('N', 'o', 'n', 'e')",None
26586,0.57,0.5501148700714111,None,"('N', 'o', 'n', 'e')",None
27006,0.55,0.5377552509307861,None,"('N', 'o', 'n', 'e')",None
27432,0.53,0.5171661376953125,None,"('N', 'o', 'n', 'e')",None
27842,0.54,0.5264115333557129,None,"('N', 'o', 'n', 'e')",None
28271,0.55,0.5298357009887695,None,"('N', 'o', 'n', 'e')",None
28686,0.53,0.5186333656311035,None,"('N', 'o', 'n', 'e')",None
29105,0.53,0.5169634819030762,None,"('N', 'o', 'n', 'e')",None
29519,0.51,0.4986603260040283,None,"('N', 'o', 'n', 'e')",None
29957,0.55,0.5296862125396729,None,"('N', 'o', 'n', 'e')",None
30366,0.53,0.5172584056854248,None,"('N', 'o', 'n', 'e')",None
30774,0.52,0.49890804290771484,None,"('N', 'o', 'n', 'e')",None
