update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
909,1.6,0.6646552085876465,None,"('N', 'o', 'n', 'e')",None
1241,0.54,0.5199253559112549,None,"('N', 'o', 'n', 'e')",None
1573,0.52,0.5060911178588867,None,"('N', 'o', 'n', 'e')",None
1905,0.51,0.4951043128967285,None,"('N', 'o', 'n', 'e')",None
2231,0.56,0.546309232711792,None,"('N', 'o', 'n', 'e')",None
2559,0.54,0.5261566638946533,None,"('N', 'o', 'n', 'e')",None
2895,0.54,0.5247392654418945,None,"('N', 'o', 'n', 'e')",None
3217,0.57,0.5496084690093994,None,"('N', 'o', 'n', 'e')",None
3546,0.53,0.5180990695953369,None,"('N', 'o', 'n', 'e')",None
3882,0.53,0.5126030445098877,None,"('N', 'o', 'n', 'e')",None
4212,0.53,0.5181334018707275,None,"('N', 'o', 'n', 'e')",None
4540,0.52,0.507615327835083,None,"('N', 'o', 'n', 'e')",None
4866,0.53,0.512622594833374,None,"('N', 'o', 'n', 'e')",None
5197,0.53,0.5094234943389893,None,"('N', 'o', 'n', 'e')",None
5528,0.51,0.497697114944458,None,"('N', 'o', 'n', 'e')",None
5863,0.52,0.5071332454681396,None,"('N', 'o', 'n', 'e')",None
6192,0.57,0.5544948577880859,None,"('N', 'o', 'n', 'e')",None
6523,0.55,0.5365002155303955,None,"('N', 'o', 'n', 'e')",None
6851,0.53,0.5092489719390869,None,"('N', 'o', 'n', 'e')",None
7179,0.55,0.5320312976837158,None,"('N', 'o', 'n', 'e')",None
7510,0.54,0.519737958908081,None,"('N', 'o', 'n', 'e')",None
7845,0.53,0.5133392810821533,None,"('N', 'o', 'n', 'e')",None
8172,0.55,0.5376653671264648,None,"('N', 'o', 'n', 'e')",None
8500,0.52,0.5038940906524658,None,"('N', 'o', 'n', 'e')",None
8831,0.53,0.5166456699371338,None,"('N', 'o', 'n', 'e')",None
9164,0.51,0.4983632564544678,None,"('N', 'o', 'n', 'e')",None
9490,0.53,0.5147871971130371,None,"('N', 'o', 'n', 'e')",None
9822,0.54,0.5241141319274902,None,"('N', 'o', 'n', 'e')",None
10155,0.51,0.49448704719543457,None,"('N', 'o', 'n', 'e')",None
10485,0.55,0.5339086055755615,None,"('N', 'o', 'n', 'e')",None
10810,0.56,0.5424706935882568,None,"('N', 'o', 'n', 'e')",None
11139,0.52,0.5051085948944092,None,"('N', 'o', 'n', 'e')",None
11468,0.54,0.5203659534454346,None,"('N', 'o', 'n', 'e')",None
11802,0.52,0.5070586204528809,None,"('N', 'o', 'n', 'e')",None
12136,0.54,0.525334358215332,None,"('N', 'o', 'n', 'e')",None
12456,0.52,0.5029013156890869,None,"('N', 'o', 'n', 'e')",None
12789,0.56,0.546001672744751,None,"('N', 'o', 'n', 'e')",None
13120,0.54,0.5259158611297607,None,"('N', 'o', 'n', 'e')",None
13447,0.64,0.6247353553771973,None,"('N', 'o', 'n', 'e')",None
13778,0.54,0.523878812789917,None,"('N', 'o', 'n', 'e')",None
14109,0.57,0.5579545497894287,None,"('N', 'o', 'n', 'e')",None
14447,0.54,0.5224623680114746,None,"('N', 'o', 'n', 'e')",None
14775,0.53,0.5148003101348877,None,"('N', 'o', 'n', 'e')",None
15111,0.53,0.5095818042755127,None,"('N', 'o', 'n', 'e')",None
15438,0.58,0.5641403198242188,None,"('N', 'o', 'n', 'e')",None
15760,0.53,0.515547513961792,None,"('N', 'o', 'n', 'e')",None
16089,0.56,0.5450561046600342,None,"('N', 'o', 'n', 'e')",None
16426,0.51,0.4909825325012207,None,"('N', 'o', 'n', 'e')",None
16767,0.55,0.534308910369873,None,"('N', 'o', 'n', 'e')",None
17088,0.58,0.5599367618560791,None,"('N', 'o', 'n', 'e')",None
17412,0.53,0.5187869071960449,None,"('N', 'o', 'n', 'e')",None
17745,0.54,0.5240108966827393,None,"('N', 'o', 'n', 'e')",None
18075,0.54,0.5272767543792725,None,"('N', 'o', 'n', 'e')",None
18409,0.53,0.5162603855133057,None,"('N', 'o', 'n', 'e')",None
18737,0.55,0.5330486297607422,None,"('N', 'o', 'n', 'e')",None
19064,0.54,0.5255072116851807,None,"('N', 'o', 'n', 'e')",None
19393,0.53,0.512418270111084,None,"('N', 'o', 'n', 'e')",None
19723,0.53,0.5128324031829834,None,"('N', 'o', 'n', 'e')",None
20050,0.54,0.5268926620483398,None,"('N', 'o', 'n', 'e')",None
