update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
908,1.6,0.6513617038726807,None,"('N', 'o', 'n', 'e')",None
1238,0.53,0.5169737339019775,None,"('N', 'o', 'n', 'e')",None
1569,0.53,0.5143744945526123,None,"('N', 'o', 'n', 'e')",None
1903,0.57,0.5563232898712158,None,"('N', 'o', 'n', 'e')",None
2232,0.51,0.4965956211090088,None,"('N', 'o', 'n', 'e')",None
2564,0.52,0.5038807392120361,None,"('N', 'o', 'n', 'e')",None
2899,0.57,0.5515649318695068,None,"('N', 'o', 'n', 'e')",None
3229,0.55,0.5361707210540771,None,"('N', 'o', 'n', 'e')",None
3557,0.88,0.8452696800231934,None,"('N', 'o', 'n', 'e')",None
3884,0.62,0.6082963943481445,None,"('N', 'o', 'n', 'e')",None
