update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R
979,1.42,0.5059871673583984,None,"('N', 'o', 'n', 'e')",None
1308,0.53,0.5154209136962891,None,"('N', 'o', 'n', 'e')",None
1643,0.55,0.5292863845825195,None,"('N', 'o', 'n', 'e')",None
1972,0.5,0.48722243309020996,None,"('N', 'o', 'n', 'e')",None
2305,0.54,0.52126145362854,None,"('N', 'o', 'n', 'e')",None
2638,0.59,0.5739567279815674,None,"('N', 'o', 'n', 'e')",None
2963,0.5,0.48467302322387695,None,"('N', 'o', 'n', 'e')",None
3285,0.52,0.5047607421875,None,"('N', 'o', 'n', 'e')",None
3622,0.52,0.5027198791503906,None,"('N', 'o', 'n', 'e')",None
3952,0.53,0.5159924030303955,None,"('N', 'o', 'n', 'e')",None
