update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
966,2.19,0.9177167415618896,[-17.4363338   -1.94581844 111.5       ],"(-9, -1, 11)","[2, 1, 3, 4]","[(0, 0.3), (0, 0.3), (0, 0.3), (0, 0.3)]"
1300,1.06,0.8706834316253662,[ -6.95084643  12.21208422 112.        ],"(-4, 6, 11)","[6, 2, 1, 0]","[(0, 0.7), (0, 0.3), (0, 0.3), (0, 0.3)]"
1627,1.12,0.8512539863586426,[ -6.98395945  10.69549813 108.5       ],"(-4, 5, 10)","[2, 6, 4, 7]","[(0, 0.3), (0, 0.7), (0, 0.3), (0, 0.7)]"
1956,1.0,0.7516858577728271,[ -6.62586893  12.24264949 110.5       ],"(-4, 6, 11)","[2, 6, 0]","[(0, 0.3), (0, 0.7), (0, 0.3)]"
2285,1.09,0.8729822635650635,[ -7.19285957  11.99352478 109.5       ],"(-4, 5, 10)","[3, 2, 7, 4]","[(0, 0.3), (0, 0.3), (0, 0.7), (0, 0.3)]"
2621,1.0,0.8520996570587158,[ -6.99754929  10.17878438 111.5       ],"(-4, 5, 11)","[7, 2, 3, 6]","[(0, 0.7), (0, 0.3), (0, 0.3), (0, 0.7)]"
2949,1.09,0.8677489757537842,[ -6.72261538  10.95621302 112.        ],"(-4, 5, 11)","[2, 8, 0, 1]","[(0, 0.3), (0, 0.7), (0, 0.3), (0, 0.3)]"
3286,0.95,0.8266828060150146,[ -7.74975563   9.34718199 116.        ],"(-4, 4, 11)","[2, 7, 6, 8]","[(0, 0.3), (0, 0.7), (0, 0.7), (0, 0.7)]"
3610,1.08,0.8815710544586182,[ -7.41684787   8.96320932 109.        ],"(-4, 4, 10)","[10, 2, 3, 1]","[(0, 0.7), (0, 0.3), (0, 0.3), (0, 0.3)]"
3935,0.79,0.6758079528808594,[ -7.61832856   8.614611   107.5       ],"(-4, 4, 10)","[2, 9, 8]","[(0, 0.3), (0, 0.7), (0, 0.7)]"
