update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
890,2.5,1.369936227798462,[-17.4363338   -1.94581844 109.5       ],"(-9, -1, 10)",[32 18 14 13],"[[  0.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
1227,1.51,1.1130595207214355,[ -7.83011512   5.18105722 111.5       ],"(-4, 2, 11)",[23  8 26  2],"[[-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [  0.    0.3]]"
1563,1.27,1.24910569190979,[ -8.63707733   3.13141059 111.5       ],"(-5, 1, 11)",[ 3 32 14 13],"[[-10.    0.3]
 [  0.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
1886,1.12,1.107424020767212,[ -8.69195241   4.2555969  109.5       ],"(-5, 2, 10)",[ 5  2 22 23],"[[-10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [-10.    0.7]]"
2216,1.18,1.1686124801635742,[ -8.00376981   5.95115956 109.5       ],"(-5, 2, 10)",[22  3 13 32],"[[-10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [  0.    0.7]]"
2545,1.12,1.1067373752593994,[ -7.82755994   7.01062737 110.5       ],"(-4, 3, 11)",[ 5 26 31  8],"[[-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
2876,1.15,1.1298103332519531,[ -8.79466269   4.75928048 112.5       ],"(-5, 2, 11)",[22 32 24  3],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]]"
3208,1.12,1.1038994789123535,[ -7.05127078   6.35412639 110.5       ],"(-4, 3, 11)",[ 5  2  8 31],"[[-10.    0.7]
 [  0.    0.3]
 [  0.    0.7]
 [  0.    0.7]]"
3542,1.21,1.1963896751403809,[ -7.01800313   6.19831897 113.        ],"(-4, 3, 11)",[18  3 32 13],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
3871,1.16,1.1411120891571045,[ -8.56736783   4.63560952 110.        ],"(-5, 2, 11)",[ 5  8 12 23],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.3]
 [-10.    0.7]]"
