update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
914,1.61,0.7250192165374756,None,"('N', 'o', 'n', 'e')",None
1243,0.54,0.5263450145721436,None,"('N', 'o', 'n', 'e')",None
1566,0.53,0.513709545135498,None,"('N', 'o', 'n', 'e')",None
1904,0.56,0.5446443557739258,None,"('N', 'o', 'n', 'e')",None
2231,0.53,0.5161521434783936,None,"('N', 'o', 'n', 'e')",None
2559,0.53,0.5184197425842285,None,"('N', 'o', 'n', 'e')",None
2891,0.57,0.5497658252716064,None,"('N', 'o', 'n', 'e')",None
3216,0.54,0.5280349254608154,None,"('N', 'o', 'n', 'e')",None
3556,0.53,0.5106682777404785,None,"('N', 'o', 'n', 'e')",None
3882,0.56,0.5423712730407715,None,"('N', 'o', 'n', 'e')",None
