update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L
903,2.24,1.2402944564819336,None,"('N', 'o', 'n', 'e')",None
1233,0.55,0.5333347320556641,None,"('N', 'o', 'n', 'e')",None
1562,0.54,0.5260429382324219,None,"('N', 'o', 'n', 'e')",None
1882,0.52,0.5082314014434814,None,"('N', 'o', 'n', 'e')",None
2220,0.53,0.5158605575561523,None,"('N', 'o', 'n', 'e')",None
2558,0.54,0.5250463485717773,None,"('N', 'o', 'n', 'e')",None
2889,0.57,0.5521214008331299,None,"('N', 'o', 'n', 'e')",None
3215,0.59,0.5697360038757324,None,"('N', 'o', 'n', 'e')",None
3553,0.53,0.5172512531280518,None,"('N', 'o', 'n', 'e')",None
3883,0.55,0.5380160808563232,None,"('N', 'o', 'n', 'e')",None
