update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
987,1.53,1.374523401260376,[-17.4363338   -1.94581844 142.        ],"(-9, -1, 14)",[ 0 29 18 17],"[[  0.    0.3]
 [-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
1410,2.08,1.2246694564819336,[-13.33652047   0.71012438 140.        ],"(-7, 0, 14)",[12 20 22  4],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
1827,1.83,1.1036994457244873,[-13.11833996  -0.21351041 137.        ],"(-7, -1, 13)",[29  0 27  6],"[[-10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
2244,2.07,1.1869816780090332,[-13.00431558   0.49083975 138.5       ],"(-7, 0, 13)",[20 22  4 24],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
2655,1.85,1.1126055717468262,[-12.92100612   0.75032941 138.5       ],"(-7, 0, 13)",[29 18 16 17],"[[-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
3083,2.11,1.214754581451416,[-12.65120831   1.58873174 142.5       ],"(-7, 0, 14)",[20  4 22 24],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [-10.    0.3]]"
3502,1.95,1.2189857959747314,[-12.73709046   0.77694793 137.        ],"(-7, 0, 13)",[29 18 17  0],"[[-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]]"
3917,2.18,1.2234752178192139,[-12.9185348    0.53614059 137.5       ],"(-7, 0, 13)",[20 22  4 24],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
4349,1.86,1.0966501235961914,[-13.27084253   0.36890957 142.        ],"(-7, 0, 14)",[29 17 16 18],"[[-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
4768,1.94,1.1620373725891113,[-12.7680097    0.27750279 139.        ],"(-7, 0, 13)",[20 22  4 24],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
5199,1.85,1.121922492980957,[-13.44072241   0.49353969 144.5       ],"(-7, 0, 14)",[29 18  0 17],"[[-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
5604,2.09,1.2777729034423828,[-12.16467084   1.13868326 136.5       ],"(-7, 0, 13)",[20 11  2 22],"[[ 10.    0.7]
 [  0.    0.3]
 [ 10.    0.3]
 [-10.    0.3]]"
6025,1.89,1.1297507286071777,[-12.38296325   1.46471687 137.5       ],"(-7, 0, 13)",[29  0 27 18],"[[-10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
6453,1.99,1.2186050415039062,[-14.00920837   0.14800082 141.        ],"(-8, 0, 14)",[20 11 22  7],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
6878,1.82,1.125474214553833,[-12.2948252   0.9991866 141.5      ],"(-7, 0, 14)",[ 0 29 17 27],"[[  0.    0.3]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
7294,2.0,1.1445515155792236,[-12.42034076   1.00204643 140.        ],"(-7, 0, 14)",[20  4 22  7],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
7710,1.95,1.1477560997009277,[-13.17667133   0.70511989 143.        ],"(-7, 0, 14)",[17 18 29 16],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
8126,2.14,1.2568180561065674,[-1.36143331e+01 -7.35913523e-02  1.41000000e+02],"(-7, -1, 14)",[20  2  4  1],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.7]
 [ 0.   0.3]]"
8537,1.93,1.1717908382415771,[-12.6084116    1.04744691 139.        ],"(-7, 0, 13)",[18 17  0 16],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
8968,2.07,1.2861888408660889,[-12.85595849   1.42188577 140.        ],"(-7, 0, 14)",[20 22  1 11],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
9390,1.98,1.1863744258880615,[-12.37366407   1.87594741 144.        ],"(-7, 0, 14)",[29  0  6 27],"[[-10.    0.7]
 [  0.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
9811,1.95,1.2005321979522705,[-13.26618425   0.29643986 138.5       ],"(-7, 0, 13)",[20 22  4 24],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
10227,1.86,1.1560897827148438,[-13.09613923   0.86211963 139.5       ],"(-7, 0, 13)",[29 17 18  0],"[[-10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]]"
