update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
957,2.93,1.1599555015563965,[-17.4363338   -1.94581844 113.5       ],"(-9, -1, 11)",[ 8 16  0 11],"[[-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
1286,1.19,1.1745929718017578,[-12.42807096   3.49957408 109.5       ],"(-7, 1, 10)",[11 17  0 23],"[[-10.    0.3]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
1621,1.15,1.138354778289795,[-11.9131545    3.88615766 113.        ],"(-6, 1, 11)",[ 8  0 11 16],"[[-10.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.7]]"
1942,1.23,1.2091357707977295,[-12.12623824   4.09479351 107.5       ],"(-7, 2, 10)",[11 14 12 18],"[[-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]]"
2277,1.14,1.1269638538360596,[-12.38463571   3.37650897 112.        ],"(-7, 1, 11)",[ 8 16  0  7],"[[-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]]"
2614,1.2,1.1877622604370117,[-13.38060263   2.88751265 110.5       ],"(-7, 1, 11)",[11 18 17 23],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
2937,1.19,1.1736829280853271,[-12.48076351   3.33169228 107.        ],"(-7, 1, 10)",[ 8 16  0 11],"[[-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
3260,1.19,1.177168846130371,[-12.47194071   4.74158145 107.        ],"(-7, 2, 10)",[11 17 14 18],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]
 [ 10.    0.7]]"
3594,1.13,1.1155173778533936,[-11.85236483   3.75735857 113.        ],"(-6, 1, 11)",[ 8 16  0 27],"[[-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]]"
3933,1.38,1.3592092990875244,[-11.94958691   5.53711533 112.5       ],"(-6, 2, 11)",[11  1 24 14],"[[-10.    0.3]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
4266,1.1,1.0879342555999756,[-11.92184448   4.71181211 110.        ],"(-6, 2, 11)",[21  0  8 16],"[[ 10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
4583,1.14,1.1276133060455322,[-13.44466411   3.46804869 104.        ],"(-7, 1, 10)",[11 17 18 14],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]]"
4914,1.16,1.1445732116699219,[-11.91129366   3.37067275 108.5       ],"(-6, 1, 10)",[ 8 16 11  0],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
5250,1.25,1.2344598770141602,[-12.74355734   5.28381714 113.        ],"(-7, 2, 11)",[11 22 14 17],"[[-10.    0.3]
 [-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]]"
5583,1.1,1.0851144790649414,[-10.68908204   6.46171251 111.5       ],"(-6, 3, 11)",[32  8 16  0],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]]"
5903,1.2,1.1835339069366455,[-12.00655054   5.94966156 106.5       ],"(-7, 2, 10)",[11 17 18 14],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.3]]"
6239,1.06,1.043168306350708,[-12.05548119   4.49842181 111.        ],"(-7, 2, 11)",[16 32 21  8],"[[ 10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
6566,1.13,1.10945463180542,[-13.39241932   5.02332124 108.5       ],"(-7, 2, 10)",[11 18 17 20],"[[-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]]"
6895,1.1,1.0879273414611816,[-12.93388067   3.59752549 109.5       ],"(-7, 1, 10)",[32  8  0 16],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
7227,1.29,1.2726171016693115,[-12.10586179   5.7924551  111.        ],"(-7, 2, 11)",[11 29 14  1],"[[-10.    0.3]
 [  0.    0.7]
 [ 10.    0.3]
 [  0.    0.3]]"
7560,1.08,1.0671429634094238,[-12.12416512   5.42802095 110.        ],"(-7, 2, 11)",[32 16 21  8],"[[  0.    0.7]
 [ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]]"
7894,1.16,1.1467616558074951,[-12.30512403   5.17788099 111.5       ],"(-7, 2, 11)",[29 11 18 17],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]]"
8224,1.11,1.0988433361053467,[-13.10213536   2.22126011 110.5       ],"(-7, 1, 11)",[32 16  8  0],"[[  0.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
8548,1.25,1.236861228942871,[-11.27662932   6.23522325 110.        ],"(-6, 3, 11)",[29 11 14 18],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [ 10.    0.7]]"
8876,1.13,1.1171324253082275,[-12.59013526   3.61388382 110.        ],"(-7, 1, 11)",[16 21  8  0],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]]"
9207,1.21,1.1959986686706543,[-12.41586015   5.64110569 108.5       ],"(-7, 2, 10)",[11 14 29 18],"[[-10.    0.3]
 [ 10.    0.3]
 [  0.    0.7]
 [ 10.    0.7]]"
9539,1.15,1.1325881481170654,[-12.31076581   3.12390802 112.        ],"(-7, 1, 11)",[16  8  0 21],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.3]
 [ 10.    0.7]]"
9871,1.16,1.1462798118591309,[-12.8683211    5.97353678 110.        ],"(-7, 2, 11)",[ 5 11 18 17],"[[  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.7]]"
