update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
896,2.52,1.449641466140747,[-17.4363338   -1.94581844 112.        ],"(-9, -1, 11)",[ 5  0 26 29],"[[  0.    0.7]
 [  0.    0.3]
 [  0.    0.7]
 [-10.    0.7]]"
1219,1.73,1.2347607612609863,[ -8.10653045   4.90778888 108.        ],"(-5, 2, 10)",[12 34  2 36],"[[-10.    0.3]
 [  0.    0.7]
 [ 10.    0.3]
 [-10.    0.7]]"
1546,1.18,1.167497158050537,[ -6.38432932   6.56972783 108.        ],"(-4, 3, 10)",[ 5  0 29 17],"[[  0.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [ 10.    0.7]]"
1881,1.24,1.224609136581421,[ -6.39034307   4.76960441 114.5       ],"(-4, 2, 11)",[19 34  4  1],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]]"
2207,1.22,1.2042670249938965,[ -6.4621136   5.9233123 107.       ],"(-4, 2, 10)",[ 5 17  0 18],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
2535,1.33,1.3177201747894287,[ -5.54885789   8.60054549 107.5       ],"(-3, 4, 10)",[34 19  2  1],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
2870,1.3,1.2883164882659912,[ -6.1001323    7.17085442 112.5       ],"(-4, 3, 11)",[17  5  0 18],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
3198,1.38,1.3665757179260254,[ -6.21084424   7.57589622 110.5       ],"(-4, 3, 11)",[19 34  1  2],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]
 [10.   0.3]]"
3534,1.24,1.2286345958709717,[ -5.895783     6.90229035 111.5       ],"(-3, 3, 11)",[29  0 42  5],"[[-10.    0.7]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
3861,1.25,1.235858678817749,[ -6.9956572    7.95437685 110.        ],"(-4, 3, 11)",[41 34 19  4],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
