update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
892,2.56,1.4525797367095947,[-17.4363338   -1.94581844 107.5       ],"(-9, -1, 10)",[22 24  7  1],"[[  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]
 [  0.    0.3]]"
1223,1.48,1.0104877948760986,[-13.68589929  -4.93169544 110.        ],"(-7, -3, 11)",[31 16 17 18],"[[10.   0.7]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
1545,1.2,1.1877522468566895,[-16.1600581   -7.47809912 108.        ],"(-9, -4, 10)",[20 32 22  2],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.3]]"
1880,1.25,1.2344534397125244,[-15.67834993  -4.44490726 112.        ],"(-8, -3, 11)",[ 0 31  6 12],"[[ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]]"
2219,1.16,1.1429569721221924,[-15.87575848  -5.75423965 113.        ],"(-8, -3, 11)",[18 22 20 32],"[[10.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
2533,1.18,1.1653995513916016,[-16.71853166  -9.05219126 106.5       ],"(-9, -5, 10)",[31  0  6 16],"[[10.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]
 [10.   0.7]]"
2874,1.31,1.297614574432373,[-16.56817331  -5.75771665 115.5       ],"(-9, -3, 11)",[34 22  1  7],"[[ 10.    0.7]
 [  0.    0.3]
 [  0.    0.3]
 [-10.    0.7]]"
3207,1.19,1.1745123863220215,[-16.66971562  -7.2429779  112.        ],"(-9, -4, 11)",[17 16 31 32],"[[10.   0.7]
 [10.   0.7]
 [10.   0.7]
 [10.   0.7]]"
3531,1.3,1.2839035987854004,[-15.94036314  -6.89112861 107.5       ],"(-8, -4, 10)",[34 20 18  0],"[[10.   0.7]
 [10.   0.7]
 [10.   0.7]
 [ 0.   0.3]]"
3857,1.21,1.1951994895935059,[-15.87463014  -7.24916766 108.5       ],"(-8, -4, 10)",[31 35  6 34],"[[10.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
