update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
996,1.3,0.5542187690734863,None,"('N', 'o', 'n', 'e')",None,None
1404,0.56,0.4825870990753174,None,"('N', 'o', 'n', 'e')",None,None
1822,0.55,0.5103135108947754,None,"('N', 'o', 'n', 'e')",None,None
2252,0.58,0.5143430233001709,None,"('N', 'o', 'n', 'e')",None,None
2672,0.56,0.5048191547393799,None,"('N', 'o', 'n', 'e')",None,None
3090,0.58,0.5175278186798096,None,"('N', 'o', 'n', 'e')",None,None
3509,0.61,0.5251004695892334,None,"('N', 'o', 'n', 'e')",None,None
3929,0.57,0.5098576545715332,None,"('N', 'o', 'n', 'e')",None,None
4353,0.61,0.49616408348083496,None,"('N', 'o', 'n', 'e')",None,None
4779,0.54,0.5185379981994629,None,"('N', 'o', 'n', 'e')",None,None
5200,0.61,0.5362439155578613,None,"('N', 'o', 'n', 'e')",None,None
5623,0.51,0.49666690826416016,None,"('N', 'o', 'n', 'e')",None,None
6027,0.53,0.4984707832336426,None,"('N', 'o', 'n', 'e')",None,None
6457,0.61,0.5129344463348389,None,"('N', 'o', 'n', 'e')",None,None
6872,0.51,0.49576830863952637,None,"('N', 'o', 'n', 'e')",None,None
7294,0.64,0.5143229961395264,None,"('N', 'o', 'n', 'e')",None,None
7717,0.74,0.6649723052978516,None,"('N', 'o', 'n', 'e')",None,None
8135,0.56,0.5278277397155762,None,"('N', 'o', 'n', 'e')",None,None
8560,0.55,0.48958635330200195,None,"('N', 'o', 'n', 'e')",None,None
8970,0.5,0.48151612281799316,None,"('N', 'o', 'n', 'e')",None,None
9387,0.51,0.4893472194671631,None,"('N', 'o', 'n', 'e')",None,None
9814,0.53,0.5095765590667725,None,"('N', 'o', 'n', 'e')",None,None
10234,0.51,0.49346160888671875,None,"('N', 'o', 'n', 'e')",None,None
10656,0.53,0.5176966190338135,None,"('N', 'o', 'n', 'e')",None,None
11081,1.4,1.2179360389709473,None,"('N', 'o', 'n', 'e')",None,None
11493,0.74,0.5977146625518799,None,"('N', 'o', 'n', 'e')",None,None
11916,0.56,0.5010855197906494,None,"('N', 'o', 'n', 'e')",None,None
12336,0.6,0.5510623455047607,None,"('N', 'o', 'n', 'e')",None,None
12748,0.55,0.4785501956939697,None,"('N', 'o', 'n', 'e')",None,None
13180,0.69,0.5848207473754883,None,"('N', 'o', 'n', 'e')",None,None
13597,0.56,0.4989004135131836,None,"('N', 'o', 'n', 'e')",None,None
14014,0.56,0.5065438747406006,None,"('N', 'o', 'n', 'e')",None,None
14430,0.56,0.5095205307006836,None,"('N', 'o', 'n', 'e')",None,None
14852,0.51,0.47769713401794434,None,"('N', 'o', 'n', 'e')",None,None
15273,0.51,0.4930720329284668,None,"('N', 'o', 'n', 'e')",None,None
15702,0.55,0.5217437744140625,None,"('N', 'o', 'n', 'e')",None,None
16114,0.52,0.506354570388794,None,"('N', 'o', 'n', 'e')",None,None
16538,0.54,0.511329174041748,None,"('N', 'o', 'n', 'e')",None,None
16959,0.53,0.4845089912414551,None,"('N', 'o', 'n', 'e')",None,None
17376,0.54,0.4884982109069824,None,"('N', 'o', 'n', 'e')",None,None
