update_start_idx_L,update_latency_L,update_dur_L,input_reduced_L,grid_key_L,replayed_bins_L,replayed_bins_task_label_L
959,1.86,1.3981003761291504,[-17.4363338   -1.94581844 109.        ],"(-9, -1, 10)",[ 9  0 22 21],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.7]]"
1291,2.14,1.244983196258545,[ -7.79318511   9.55907686 110.        ],"(-4, 4, 11)",[ 1 29  3  9],"[[-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
1624,1.7,1.1514201164245605,[ -8.57220211   8.39733003 111.5       ],"(-5, 4, 11)",[ 0  9 10  5],"[[0.  0.3]
 [0.  0.7]
 [0.  0.7]
 [0.  0.3]]"
1955,1.57,1.2002573013305664,[ -9.02651027   8.39902942 110.        ],"(-5, 4, 11)",[33 21  3  1],"[[-10.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
2295,1.64,1.1360743045806885,[ -9.06818982   7.89504763 113.        ],"(-5, 3, 11)",[22  9  0 10],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.3]
 [ 0.   0.7]]"
2619,1.69,1.2523255348205566,[ -7.82976879   9.89763129 106.        ],"(-4, 4, 10)",[ 1  9 29  0],"[[-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]]"
2950,1.7,1.1315467357635498,[ -9.11735847   8.67245689 110.        ],"(-5, 4, 11)",[ 9 21  0 12],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.3]
 [10.   0.7]]"
3276,1.68,1.173675537109375,[ -8.85070352   8.92904571 108.        ],"(-5, 4, 10)",[ 1 22 29 10],"[[-10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
3602,1.7,1.2143769264221191,[ -8.60905988   8.97638527 110.5       ],"(-5, 4, 11)",[ 9 18 16 17],"[[ 0.   0.7]
 [10.   0.3]
 [10.   0.3]
 [10.   0.3]]"
3935,1.69,1.2257070541381836,[ -8.51754451   8.95762478 114.5       ],"(-5, 4, 11)",[28  0 10  9],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]
 [  0.    0.7]]"
4267,1.65,1.2692608833312988,[ -8.02485973   9.56109227 108.        ],"(-5, 4, 10)",[9 1 3 0],"[[  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.3]]"
4592,1.68,1.0860283374786377,[ -7.82518033   9.03532702 110.        ],"(-4, 4, 11)",[22  9 12 21],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.7]
 [10.   0.7]]"
4922,1.89,1.3699650764465332,[ -7.99383466   9.49627872 110.5       ],"(-4, 4, 11)",[13  1  3 15],"[[  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [ 10.    0.3]]"
5252,1.62,1.145117998123169,[ -8.0711458    8.79518764 111.        ],"(-5, 4, 11)",[ 9 22 16 12],"[[ 0.   0.7]
 [10.   0.7]
 [10.   0.3]
 [10.   0.7]]"
5585,1.83,1.2981359958648682,[ -8.23298811   8.94308984 110.        ],"(-5, 4, 11)",[ 0 28 10  1],"[[  0.    0.3]
 [-10.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
5915,1.76,1.2147998809814453,[ -8.05948185   8.86249436 112.5       ],"(-5, 4, 11)",[ 9  3 21 16],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.3]]"
6239,1.66,1.1768300533294678,[ -7.79097987   9.61026198 107.        ],"(-4, 4, 10)",[ 0 10  9 22],"[[ 0.   0.3]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
6570,1.92,1.349449872970581,[ -8.11631565   9.23295165 110.        ],"(-5, 4, 11)",[ 3  1 29 15],"[[  0.    0.3]
 [-10.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
6899,1.77,1.187624216079712,[-10.0823487    9.10925178 109.5       ],"(-6, 4, 10)",[ 9  0 22  8],"[[ 0.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [ 0.   0.7]]"
7232,1.82,1.2804443836212158,[ -8.79581008   8.87017944 111.5       ],"(-5, 4, 11)",[ 1  3  9 29],"[[-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]
 [-10.    0.3]]"
7561,1.71,1.1785943508148193,[ -8.6367084    9.12736641 109.        ],"(-5, 4, 10)",[ 0  9 10 22],"[[ 0.   0.3]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.7]]"
7896,1.81,1.279494047164917,[ -8.74358433   8.09518881 109.5       ],"(-5, 4, 10)",[ 9  1  0 29],"[[  0.    0.7]
 [-10.    0.3]
 [  0.    0.3]
 [-10.    0.3]]"
8222,1.7,1.1731252670288086,[ -8.40335521   9.5915945  107.        ],"(-5, 4, 10)",[ 9 10 28 22],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
8554,1.85,1.3228297233581543,[ -8.60882888   9.34182417 111.        ],"(-5, 4, 11)",[ 9  1 29  0],"[[  0.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
8890,1.68,1.1252837181091309,[ -9.05824233   8.60593357 111.        ],"(-5, 4, 11)",[ 9 10 28 12],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
9217,1.76,1.2398853302001953,[ -8.48602121   8.85091486 109.5       ],"(-5, 4, 10)",[9 0 1 4],"[[  0.    0.7]
 [  0.    0.3]
 [-10.    0.3]
 [ 10.    0.3]]"
9549,1.66,1.172834873199463,[ -8.13398033   9.698289   109.5       ],"(-5, 4, 10)",[ 9 22  5 28],"[[  0.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
9879,1.82,1.236804723739624,[ -8.13358807   9.5604835  110.5       ],"(-5, 4, 11)",[ 9  1 29  3],"[[  0.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [  0.    0.3]]"
10203,1.63,1.1708984375,[ -7.36402554  10.47459274 109.        ],"(-4, 5, 10)",[ 9 22  0 28],"[[  0.    0.7]
 [ 10.    0.7]
 [  0.    0.3]
 [-10.    0.3]]"
10541,1.73,1.2501044273376465,[ -7.89431962   9.03631181 113.        ],"(-4, 4, 11)",[16  1  3  9],"[[ 10.    0.3]
 [-10.    0.3]
 [  0.    0.3]
 [  0.    0.7]]"
10876,1.54,1.135300874710083,[ -7.84743531  10.00484933 113.5       ],"(-4, 5, 11)",[ 9 10 28 22],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
